onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	l	TR
5.82	2.023	1-back	1.0	1.0	0.511	l	BL
7.843	2.022	1-back	0.0	1.0	0.663	s	TR
9.865	2.023	1-back	0.0	1.0	0.403	z	BL
11.888	2.023	1-back	0.0	1.0	0.423	t	TL
13.911	2.023	1-back	0.0	1.0	0.422	x	BR
15.934	2.022	1-back	1.0	0.0	0.859	x	TL
17.956	2.023	1-back	0.0	1.0	0.518	n	BL
19.979	2.023	1-back	0.0	1.0	0.489	s	TR
22.002	2.023	1-back	0.0	1.0	0.43	l	BR
24.025	2.022	1-back	1.0	1.0	0.449	l	TL
26.047	2.023	1-back	0.0	1.0	0.469	g	BR
28.07	2.023	1-back	1.0	1.0	0.535	g	TR
30.093	2.022	1-back	0.0	1.0	0.413	r	TL
32.115	2.023	1-back	1.0	1.0	0.418	r	TR
34.138	2.023	1-back	0.0	1.0	0.418	x	BL
36.161	2.023	1-back	0.0	1.0	0.404	p	TR
38.184	2.022	1-back	1.0	1.0	0.473	p	TL
40.206	2.023	1-back	0.0	1.0	0.41	c	TR
42.229	2.023	1-back	0.0	1.0	0.389	r	BL
44.252	2.023	1-back	0.0	1.0	0.814	f	TR
46.275	2.022	1-back	1.0	1.0	0.544	f	BR
48.297	2.023	1-back	1.0	1.0	0.375	f	BL
50.32	2.023	1-back	0.0	1.0	0.427	c	TL
52.343	2.023	1-back	0.0	1.0	0.435	z	BL
54.366	2.022	1-back	1.0	1.0	0.646	z	BR
56.388	2.023	1-back	0.0	1.0	0.506	v	BL
58.411	2.023	1-back	0.0	1.0	0.419	p	TL
60.434	2.022	1-back	1.0	1.0	0.487	p	TR
62.456	2.023	1-back	0.0	1.0	0.368	n	BR
64.479	2.023	1-back	0.0	1.0	0.377	s	BL
66.502	2.023	1-back	1.0	1.0	0.513	s	TL
68.525	2.022	1-back	0.0	1.0	0.398	z	TR
70.547	2.023	1-back	0.0	1.0	0.6	v	BL
72.57	2.023	1-back	0.0	1.0	0.455	t	BR
74.593	2.023	1-back	1.0	1.0	0.728	t	TL
76.616	2.022	1-back	1.0	1.0	0.476	t	BR
78.638	2.023	1-back	0.0	1.0	0.419	g	TL
80.661	2.023	1-back	0.0	1.0	0.53	x	BR
82.684	2.023	1-back	0.0	1.0	0.769	g	BL
84.707	2.022	1-back	0.0	1.0	0.56	c	TL
86.729	2.023	1-back	1.0	1.0	0.504	c	TR
88.752	2.023	1-back	0.0	1.0	0.411	v	BR
90.775	2.023	1-back	1.0	1.0	0.598	v	TL
92.798	2.022	1-back	0.0	1.0	0.49	f	TR
94.82	2.023	1-back	0.0	1.0	0.602	r	BR
96.843	2.023	1-back	0.0	1.0	0.481	n	BL
98.866	6.036	1-back	1.0	1.0	0.5	n	BR
104.902	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.925	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.948	2.023	baseline	1.0	1.0	0.26	redcross.bmp	n/a
110.971	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.993	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
115.016	2.023	baseline	1.0	1.0	0.298	redcross.bmp	n/a
117.039	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
119.062	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
121.084	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
123.107	2.023	baseline	1.0	1.0	0.278	redcross.bmp	n/a
125.13	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
127.153	6.032	baseline	1.0	1.0	0.337	redcross.bmp	n/a
133.185	1.806	no_response	n/a	1.0	n/a	z	TR
134.991	1.805	no_response	n/a	1.0	n/a	n	BL
136.796	2.023	2-back	0.0	1.0	0.509	g	BL
138.819	2.023	2-back	0.0	1.0	0.576	p	TR
140.842	2.022	2-back	1.0	1.0	0.558	g	TL
142.864	2.023	2-back	0.0	1.0	0.529	s	TL
144.887	2.023	2-back	0.0	1.0	0.49	f	BL
146.91	2.023	2-back	1.0	1.0	0.536	s	TR
148.933	2.022	2-back	1.0	1.0	0.572	f	TR
150.955	2.023	2-back	0.0	1.0	0.445	c	TL
152.978	2.023	2-back	0.0	1.0	0.467	x	BR
155.001	2.023	2-back	1.0	1.0	0.578	c	BL
157.024	2.022	2-back	0.0	1.0	0.481	l	TL
159.046	2.023	2-back	0.0	1.0	0.474	v	TL
161.069	2.023	2-back	0.0	1.0	0.491	p	TR
163.092	2.022	2-back	1.0	1.0	0.489	v	BR
165.114	2.023	2-back	0.0	1.0	0.415	c	TL
167.137	2.023	2-back	0.0	1.0	0.423	s	TL
169.16	2.023	2-back	0.0	1.0	0.467	t	BL
171.183	2.022	2-back	0.0	1.0	0.441	x	BR
173.205	2.023	2-back	1.0	1.0	0.535	t	TL
175.228	2.023	2-back	0.0	1.0	0.401	r	BL
177.251	2.023	2-back	0.0	1.0	0.398	n	BR
179.274	2.022	2-back	1.0	1.0	0.795	r	BR
181.296	2.023	2-back	0.0	1.0	0.457	l	TR
183.319	2.023	2-back	0.0	1.0	0.468	v	BL
185.342	2.023	2-back	1.0	1.0	0.564	l	BR
187.365	2.022	2-back	1.0	1.0	0.522	v	TR
189.387	2.023	2-back	0.0	1.0	0.415	s	BL
191.41	2.023	2-back	0.0	1.0	0.47	t	BR
193.433	2.022	2-back	0.0	1.0	0.784	c	BR
195.455	2.023	2-back	1.0	1.0	0.766	t	TR
197.478	2.023	2-back	0.0	1.0	0.479	n	TL
199.501	2.023	2-back	0.0	1.0	0.517	l	BR
201.524	2.022	2-back	1.0	1.0	0.457	n	TR
203.546	2.023	2-back	0.0	1.0	0.468	p	TL
205.569	2.023	2-back	0.0	1.0	0.439	x	BL
207.592	2.023	2-back	1.0	1.0	0.333	p	TR
209.615	2.022	2-back	0.0	1.0	0.379	f	BR
211.637	2.023	2-back	0.0	1.0	0.4	z	TL
213.66	2.023	2-back	1.0	1.0	0.504	f	TR
215.683	2.023	2-back	0.0	1.0	0.459	r	BL
217.706	2.022	2-back	0.0	1.0	0.433	x	BR
219.728	2.023	2-back	1.0	1.0	0.697	r	TR
221.751	2.023	2-back	0.0	1.0	0.361	g	BL
223.774	2.023	2-back	0.0	1.0	0.417	z	BL
225.797	2.022	2-back	1.0	1.0	0.498	g	TL
227.819	6.037	2-back	1.0	1.0	0.581	z	BR
233.856	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.879	2.022	baseline	1.0	1.0	0.311	redcross.bmp	n/a
237.901	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.924	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.947	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.986	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
246.009	2.023	baseline	1.0	1.0	0.349	redcross.bmp	n/a
248.032	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
250.071	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.094	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
