onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	v	TR
5.82	1.806	no_response	n/a	1.0	n/a	r	BR
7.626	2.006	2-back	1.0	1.0	0.496	v	TL
9.632	2.006	2-back	0.0	1.0	0.572	g	TR
11.638	2.006	2-back	0.0	1.0	0.52	p	BL
13.644	2.006	2-back	1.0	1.0	0.408	g	BR
15.65	2.006	2-back	0.0	1.0	0.516	n	TL
17.656	2.006	2-back	0.0	1.0	0.514	x	TR
19.662	2.006	2-back	0.0	1.0	0.458	l	BR
21.668	2.006	2-back	0.0	1.0	0.454	c	TL
23.674	2.006	2-back	1.0	1.0	0.474	l	BL
25.68	2.006	2-back	1.0	1.0	0.503	c	TR
27.686	2.006	2-back	0.0	1.0	0.484	t	BR
29.692	2.006	2-back	0.0	1.0	0.424	n	TL
31.698	2.006	2-back	1.0	1.0	0.504	t	BR
33.704	2.006	2-back	0.0	1.0	0.433	f	TR
35.71	2.006	2-back	0.0	1.0	0.681	n	BR
37.716	2.006	2-back	0.0	1.0	0.541	x	TL
39.722	2.006	2-back	1.0	1.0	0.535	n	BL
41.728	2.006	2-back	0.0	1.0	0.546	r	TR
43.734	2.006	2-back	0.0	1.0	0.842	f	TL
45.74	2.006	2-back	1.0	1.0	0.848	r	BR
47.746	2.006	2-back	0.0	1.0	0.561	s	TR
49.752	2.006	2-back	0.0	1.0	0.475	v	BL
51.758	2.006	2-back	0.0	1.0	0.519	p	TL
53.764	2.006	2-back	1.0	0.0	0.666	v	TR
55.77	2.006	2-back	0.0	1.0	0.7	s	BL
57.776	2.006	2-back	0.0	1.0	0.549	p	BR
59.782	2.006	2-back	1.0	1.0	1.036	s	TR
61.788	2.006	2-back	0.0	1.0	0.512	g	BL
63.794	2.006	2-back	0.0	1.0	0.53	z	TL
65.8	2.006	2-back	0.0	1.0	0.624	r	BR
67.806	2.006	2-back	1.0	1.0	1.071	z	BL
69.812	2.006	2-back	0.0	1.0	0.564	c	BL
71.818	2.006	2-back	0.0	1.0	0.528	t	BR
73.824	2.006	2-back	1.0	1.0	0.578	c	TL
75.83	2.006	2-back	1.0	1.0	0.538	t	BL
77.836	2.006	2-back	0.0	1.0	0.445	s	BR
79.842	2.006	2-back	0.0	1.0	0.51	x	BL
81.848	2.006	2-back	0.0	1.0	0.547	f	TR
83.854	2.006	2-back	1.0	1.0	0.495	x	TR
85.86	2.006	2-back	1.0	1.0	0.585	f	BR
87.866	2.006	2-back	0.0	1.0	0.53	l	TL
89.872	2.006	2-back	0.0	1.0	0.426	p	BL
91.878	2.006	2-back	1.0	1.0	0.633	l	BL
93.884	2.006	2-back	0.0	1.0	0.534	z	TL
95.89	2.006	2-back	0.0	1.0	0.52	g	TL
97.896	6.021	2-back	1.0	1.0	1.042	z	TR
103.917	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.939	2.023	baseline	1.0	1.0	0.316	redcross.bmp	n/a
107.962	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.001	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.024	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.047	2.023	baseline	1.0	1.0	0.339	redcross.bmp	n/a
116.07	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.092	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.115	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.138	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.161	2.022	baseline	1.0	1.0	0.366	redcross.bmp	n/a
126.183	6.033	baseline	1.0	1.0	0.373	redcross.bmp	n/a
132.216	1.806	no_response	n/a	1.0	n/a	r	TL
134.022	2.006	1-back	1.0	1.0	0.48	r	TR
136.028	2.006	1-back	0.0	1.0	0.518	g	BR
138.034	2.006	1-back	1.0	1.0	0.705	g	TL
140.04	2.006	1-back	0.0	1.0	0.506	f	TR
142.046	2.006	1-back	0.0	1.0	0.509	t	BL
144.052	2.006	1-back	0.0	1.0	0.519	v	TL
146.058	2.006	1-back	0.0	1.0	0.461	p	TR
148.064	2.006	1-back	1.0	1.0	0.565	p	BL
150.07	2.006	1-back	0.0	1.0	0.508	z	BR
152.076	2.006	1-back	0.0	1.0	0.498	s	TR
154.082	2.006	1-back	1.0	1.0	0.582	s	BL
156.088	2.006	1-back	0.0	1.0	0.456	c	TL
158.094	2.006	1-back	1.0	1.0	0.495	c	BR
160.1	2.006	1-back	0.0	1.0	0.414	l	BR
162.106	2.006	1-back	0.0	1.0	0.373	n	BL
164.112	2.006	1-back	0.0	1.0	0.43	v	TL
166.118	2.006	1-back	1.0	1.0	0.495	v	TR
168.124	2.006	1-back	0.0	1.0	0.339	z	BR
170.13	2.006	1-back	0.0	1.0	0.347	s	TL
172.136	2.006	1-back	0.0	1.0	0.58	x	TR
174.142	2.006	1-back	1.0	1.0	0.545	x	BL
176.148	2.006	1-back	1.0	1.0	0.434	x	BR
178.154	2.006	1-back	0.0	1.0	0.514	v	TR
180.16	2.006	1-back	0.0	1.0	0.394	z	TL
182.166	2.006	1-back	1.0	1.0	0.52	z	BR
184.172	2.006	1-back	0.0	1.0	0.394	f	BL
186.178	2.006	1-back	0.0	1.0	0.97	r	TR
188.184	2.006	1-back	1.0	1.0	0.567	r	BL
190.19	2.006	1-back	0.0	1.0	0.397	n	TL
192.196	2.006	1-back	0.0	1.0	0.369	l	BL
194.202	2.006	1-back	1.0	1.0	0.567	l	BR
196.208	2.006	1-back	0.0	1.0	0.454	s	TL
198.214	2.006	1-back	0.0	1.0	0.439	g	TR
200.22	2.006	1-back	0.0	1.0	0.493	c	BL
202.226	2.006	1-back	1.0	1.0	0.436	c	TR
204.232	2.006	1-back	0.0	1.0	0.302	f	BR
206.238	2.006	1-back	1.0	0.0	0.532	f	TL
208.244	2.006	1-back	0.0	1.0	0.55	t	TR
210.25	2.006	1-back	0.0	1.0	0.616	x	BL
