onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	c	BL
5.82	1.806	no_response	n/a	1.0	n/a	p	BR
7.626	2.022	2-back	1.0	1.0	0.744	n	BL
9.648	2.023	2-back	0.0	0.0	n/a	x	TR
11.671	2.023	2-back	0.0	0.0	n/a	g	TL
13.694	2.022	2-back	1.0	1.0	0.62	p	TR
15.716	2.023	2-back	1.0	1.0	1.1	c	TL
17.739	2.023	2-back	0.0	1.0	0.704	x	BL
19.762	2.023	2-back	1.0	1.0	0.881	l	TL
21.785	2.022	2-back	0.0	1.0	1.029	v	TR
23.807	2.023	2-back	0.0	0.0	n/a	g	TR
25.83	2.023	2-back	0.0	1.0	0.712	t	BR
27.853	2.023	2-back	0.0	1.0	1.06	z	BL
29.876	2.022	2-back	1.0	1.0	0.942	n	BR
31.898	2.023	2-back	0.0	1.0	0.864	f	TL
33.921	2.023	2-back	0.0	1.0	0.955	n	TR
35.944	2.022	2-back	1.0	1.0	0.613	t	TL
37.966	2.023	2-back	0.0	1.0	0.934	v	BL
39.989	2.023	2-back	1.0	1.0	0.593	l	TL
42.012	2.023	2-back	0.0	1.0	0.853	r	TL
44.035	2.022	2-back	0.0	1.0	0.875	s	BR
46.057	2.023	2-back	0.0	0.0	0.746	v	BL
48.08	2.023	2-back	1.0	1.0	0.905	n	BR
50.103	2.022	2-back	0.0	1.0	0.596	p	TL
52.125	2.023	2-back	0.0	1.0	0.72	s	TR
54.148	2.023	2-back	0.0	0.0	0.757	g	BR
56.171	2.023	2-back	0.0	1.0	1.008	p	BL
58.194	2.022	2-back	1.0	1.0	0.892	f	BR
60.216	2.023	2-back	0.0	1.0	0.653	r	TR
62.239	2.023	2-back	0.0	0.0	0.883	s	BL
64.262	2.023	2-back	1.0	0.0	0.929	z	TR
66.285	2.022	2-back	1.0	1.0	0.787	x	BL
68.307	2.023	2-back	0.0	1.0	1.005	c	TL
70.33	2.023	2-back	0.0	0.0	1.105	r	TR
72.353	2.022	2-back	0.0	1.0	1.151	v	BR
74.375	2.023	2-back	0.0	0.0	0.708	l	TL
76.398	2.023	2-back	1.0	0.0	0.64	c	BR
78.421	2.023	2-back	0.0	0.0	0.747	s	TR
80.444	2.022	2-back	1.0	0.0	0.788	t	BR
82.466	2.023	2-back	0.0	0.0	n/a	r	BL
84.489	2.023	2-back	0.0	1.0	0.952	f	TL
86.512	2.022	2-back	1.0	1.0	0.872	z	BL
88.534	2.023	2-back	0.0	1.0	0.715	l	TR
90.557	2.023	2-back	0.0	0.0	0.896	x	TL
92.58	2.023	2-back	1.0	1.0	0.845	f	TR
94.603	2.022	2-back	0.0	1.0	1.013	g	BR
96.625	2.023	2-back	0.0	0.0	0.892	t	BL
98.648	6.037	2-back	1.0	0.0	1.144	z	BR
104.685	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.708	2.022	baseline	1.0	1.0	0.483	redcross.bmp	n/a
108.73	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.753	2.023	baseline	1.0	1.0	0.347	redcross.bmp	n/a
112.776	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.798	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.821	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.844	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.867	2.022	baseline	1.0	1.0	0.238	redcross.bmp	n/a
122.889	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.912	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.935	4.026	baseline	1.0	1.0	0.38	redcross.bmp	n/a
130.961	1.806	no_response	n/a	1.0	n/a	v	TR
132.767	2.023	1-back	0.0	1.0	0.873	p	TL
134.79	2.022	1-back	0.0	1.0	0.844	z	BL
136.812	2.023	1-back	1.0	1.0	0.95	c	BL
138.835	2.023	1-back	0.0	1.0	0.575	t	TR
140.858	2.023	1-back	0.0	1.0	0.754	l	TL
142.881	2.022	1-back	1.0	1.0	0.648	c	TL
144.903	2.023	1-back	0.0	1.0	0.725	v	BL
146.926	2.023	1-back	0.0	1.0	0.649	n	BR
148.949	2.022	1-back	1.0	1.0	0.73	l	BR
150.971	2.023	1-back	0.0	1.0	0.719	v	TL
152.994	2.023	1-back	0.0	1.0	0.691	c	BR
155.017	2.023	1-back	0.0	1.0	0.848	r	TR
157.04	2.022	1-back	1.0	1.0	0.66	t	TR
159.062	2.023	1-back	0.0	1.0	0.569	n	BL
161.085	2.023	1-back	1.0	1.0	0.642	s	BL
163.108	2.022	1-back	0.0	1.0	0.629	v	TR
165.13	2.023	1-back	0.0	1.0	0.68	p	TL
167.153	2.023	1-back	1.0	1.0	0.579	c	TL
169.176	2.023	1-back	0.0	1.0	0.494	g	TR
171.199	2.022	1-back	1.0	1.0	0.502	z	TR
173.221	2.023	1-back	0.0	1.0	0.448	x	BR
175.244	2.023	1-back	0.0	1.0	0.514	g	BL
177.267	2.022	1-back	0.0	1.0	0.579	l	TL
179.289	2.023	1-back	0.0	0.0	0.523	r	BL
181.312	2.023	1-back	1.0	1.0	0.594	x	BL
183.335	2.023	1-back	0.0	1.0	0.915	f	BR
185.358	2.022	1-back	0.0	1.0	0.945	z	TR
187.38	2.023	1-back	1.0	1.0	0.66	r	TR
189.403	2.023	1-back	0.0	1.0	0.673	f	BL
191.426	2.023	1-back	1.0	1.0	0.766	n	BL
193.449	2.022	1-back	0.0	1.0	0.62	x	TR
195.471	2.023	1-back	1.0	1.0	0.685	t	TR
197.494	2.023	1-back	0.0	1.0	0.537	p	BR
199.517	2.022	1-back	1.0	1.0	0.649	x	BR
201.539	2.023	1-back	0.0	1.0	0.555	t	TL
203.562	2.023	1-back	1.0	1.0	0.577	s	TL
205.585	2.023	1-back	0.0	1.0	0.65	f	BL
207.608	2.022	1-back	0.0	1.0	0.696	l	BR
209.63	2.023	1-back	1.0	1.0	0.614	g	BR
211.653	2.023	1-back	0.0	1.0	0.66	n	TL
213.676	2.023	1-back	0.0	1.0	0.802	s	TR
215.699	2.022	1-back	0.0	1.0	0.551	p	BR
217.721	2.023	1-back	0.0	1.0	0.682	r	TL
219.744	2.023	1-back	1.0	1.0	0.685	s	TL
221.767	2.022	1-back	0.0	1.0	0.519	g	BR
223.789	2.023	1-back	1.0	1.0	0.657	z	BR
225.812	6.037	1-back	0.0	1.0	0.581	f	BL
