onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.021	1.799	no_response	n/a	1.0	n/a	c	BL
5.82	1.799	no_response	n/a	1.0	n/a	p	BR
7.619	2.013	2-back	1.0	1.0	0.515	n	BL
9.632	2.013	2-back	0.0	1.0	0.536	x	TR
11.645	2.012	2-back	0.0	1.0	0.519	g	TL
13.657	2.013	2-back	1.0	1.0	0.357	p	TR
15.67	2.012	2-back	1.0	1.0	0.655	c	TL
17.682	2.013	2-back	0.0	1.0	0.49	x	BL
19.695	2.012	2-back	1.0	1.0	0.366	l	TL
21.707	2.013	2-back	0.0	1.0	0.452	v	TR
23.72	2.012	2-back	0.0	1.0	0.38	g	TR
25.732	2.013	2-back	0.0	1.0	0.525	t	BR
27.745	2.013	2-back	0.0	1.0	0.514	z	BL
29.758	2.012	2-back	1.0	1.0	0.293	n	BR
31.77	2.013	2-back	0.0	1.0	0.648	f	TL
33.783	2.012	2-back	0.0	1.0	0.474	n	TR
35.795	2.013	2-back	1.0	1.0	0.457	t	TL
37.808	2.012	2-back	0.0	1.0	0.551	v	BL
39.82	2.013	2-back	1.0	1.0	0.291	l	TL
41.833	2.012	2-back	0.0	1.0	0.802	r	TL
43.845	2.013	2-back	0.0	1.0	0.644	s	BR
45.858	2.013	2-back	0.0	1.0	0.516	v	BL
47.871	2.012	2-back	1.0	1.0	0.374	n	BR
49.883	2.013	2-back	0.0	1.0	0.548	p	TL
51.896	2.012	2-back	0.0	1.0	0.454	s	TR
53.908	2.013	2-back	0.0	1.0	0.433	g	BR
55.921	2.012	2-back	0.0	1.0	0.438	p	BL
57.933	2.013	2-back	1.0	1.0	0.455	f	BR
59.946	2.012	2-back	0.0	1.0	0.654	r	TR
61.958	2.013	2-back	0.0	1.0	0.542	s	BL
63.971	2.013	2-back	1.0	1.0	0.81	z	TR
65.984	2.012	2-back	1.0	1.0	0.683	x	BL
67.996	2.013	2-back	0.0	1.0	0.508	c	TL
70.009	2.012	2-back	0.0	1.0	0.621	r	TR
72.021	2.013	2-back	0.0	1.0	0.557	v	BR
74.034	2.012	2-back	0.0	1.0	0.612	l	TL
76.046	2.013	2-back	1.0	1.0	0.53	c	BR
78.059	2.013	2-back	0.0	1.0	0.937	s	TR
80.072	2.012	2-back	1.0	1.0	0.738	t	BR
82.084	2.013	2-back	0.0	1.0	0.538	r	BL
84.097	2.012	2-back	0.0	1.0	0.535	f	TL
86.109	2.013	2-back	1.0	1.0	0.318	z	BL
88.122	2.012	2-back	0.0	1.0	0.488	l	TR
90.134	2.013	2-back	0.0	1.0	0.548	x	TL
92.147	2.012	2-back	1.0	1.0	0.506	f	TR
94.159	2.013	2-back	0.0	1.0	0.595	g	BR
96.172	2.013	2-back	0.0	1.0	0.412	t	BL
98.185	6.05	2-back	1.0	1.0	0.384	z	BR
104.235	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.275	2.039	baseline	1.0	1.0	0.325	redcross.bmp	n/a
108.314	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.353	2.039	baseline	1.0	1.0	0.373	redcross.bmp	n/a
112.392	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.431	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.471	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.51	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.549	2.039	baseline	1.0	1.0	0.369	redcross.bmp	n/a
122.588	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.627	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.667	4.038	baseline	1.0	1.0	0.412	redcross.bmp	n/a
130.705	1.8	no_response	n/a	1.0	n/a	v	TR
132.505	2.012	1-back	0.0	1.0	0.478	p	TL
134.517	2.013	1-back	0.0	1.0	0.76	z	BL
136.53	2.012	1-back	1.0	1.0	0.37	c	BL
138.542	2.013	1-back	0.0	1.0	0.397	t	TR
140.555	2.012	1-back	0.0	1.0	0.598	l	TL
142.567	2.013	1-back	1.0	0.0	0.685	c	TL
144.58	2.013	1-back	0.0	1.0	0.672	v	BL
146.593	2.012	1-back	0.0	1.0	0.734	n	BR
148.605	2.013	1-back	1.0	1.0	0.296	l	BR
150.618	2.012	1-back	0.0	1.0	0.531	v	TL
152.63	2.013	1-back	0.0	1.0	0.576	c	BR
154.643	2.012	1-back	0.0	1.0	0.571	r	TR
156.655	2.013	1-back	1.0	1.0	0.349	t	TR
158.668	2.012	1-back	0.0	1.0	0.575	n	BL
160.68	2.013	1-back	1.0	1.0	0.622	s	BL
162.693	2.013	1-back	0.0	1.0	0.509	v	TR
164.706	2.012	1-back	0.0	1.0	0.714	p	TL
166.718	2.013	1-back	1.0	1.0	0.572	c	TL
168.731	2.012	1-back	0.0	1.0	0.41	g	TR
170.743	2.013	1-back	1.0	1.0	0.594	z	TR
172.756	2.012	1-back	0.0	1.0	0.368	x	BR
174.768	2.013	1-back	0.0	1.0	0.464	g	BL
176.781	2.012	1-back	0.0	1.0	0.445	l	TL
178.793	2.013	1-back	0.0	1.0	0.73	r	BL
180.806	2.013	1-back	1.0	0.0	0.737	x	BL
182.819	2.012	1-back	0.0	1.0	0.714	f	BR
184.831	2.013	1-back	0.0	1.0	0.661	z	TR
186.844	2.012	1-back	1.0	1.0	0.625	r	TR
188.856	2.013	1-back	0.0	1.0	0.471	f	BL
190.869	2.012	1-back	1.0	1.0	0.362	n	BL
192.881	2.013	1-back	0.0	1.0	0.425	x	TR
194.894	2.013	1-back	1.0	1.0	0.492	t	TR
196.907	2.012	1-back	0.0	1.0	0.62	p	BR
198.919	2.013	1-back	1.0	1.0	0.517	x	BR
200.932	2.012	1-back	0.0	1.0	0.42	t	TL
202.944	2.013	1-back	1.0	1.0	0.562	s	TL
204.957	2.012	1-back	0.0	1.0	0.629	f	BL
206.969	2.013	1-back	0.0	1.0	0.47	l	BR
208.982	2.012	1-back	1.0	1.0	0.545	g	BR
210.994	2.013	1-back	0.0	1.0	0.498	n	TL
213.007	2.013	1-back	0.0	1.0	0.775	s	TR
215.02	2.012	1-back	0.0	1.0	0.507	p	BR
217.032	2.013	1-back	0.0	1.0	0.712	r	TL
219.045	2.012	1-back	1.0	1.0	0.658	s	TL
221.057	2.013	1-back	0.0	1.0	0.406	g	BR
223.07	2.012	1-back	1.0	1.0	0.527	z	BR
225.082	6.051	1-back	0.0	1.0	0.561	f	BL
231.133	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
233.172	2.04	baseline	1.0	1.0	0.405	redcross.bmp	n/a
235.212	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.251	2.039	baseline	1.0	1.0	0.345	redcross.bmp	n/a
239.29	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.329	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.368	2.04	baseline	1.0	1.0	0.332	redcross.bmp	n/a
245.408	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.447	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.486	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
251.525	2.039	baseline	1.0	1.0	0.287	redcross.bmp	n/a
253.564	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
