onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	p	TR
5.82	2.006	1-back	0.0	1.0	0.576	f	BL
7.826	2.006	1-back	1.0	1.0	0.661	n	BL
9.832	2.006	1-back	0.0	1.0	0.566	x	TR
11.838	2.006	1-back	0.0	1.0	0.433	c	TL
13.844	2.006	1-back	1.0	1.0	0.502	p	TL
15.85	2.006	1-back	0.0	1.0	0.421	n	BL
17.856	2.006	1-back	0.0	1.0	0.414	c	TR
19.862	2.006	1-back	1.0	1.0	0.46	g	TR
21.868	2.006	1-back	0.0	1.0	0.429	n	TL
23.874	2.006	1-back	0.0	1.0	0.474	s	BR
25.88	2.006	1-back	0.0	1.0	0.421	x	BL
27.886	2.006	1-back	0.0	1.0	0.643	t	TL
29.892	2.006	1-back	1.0	1.0	0.399	g	TL
31.898	2.006	1-back	0.0	1.0	0.289	p	BR
33.904	2.006	1-back	0.0	1.0	0.407	c	TL
35.91	2.006	1-back	1.0	1.0	0.559	r	TL
37.916	2.006	1-back	0.0	1.0	0.598	t	BL
39.922	2.006	1-back	1.0	1.0	0.527	v	BL
41.928	2.006	1-back	0.0	1.0	0.399	g	BR
43.934	2.006	1-back	0.0	1.0	0.64	p	TL
45.94	2.006	1-back	0.0	1.0	0.538	x	BR
47.946	2.006	1-back	1.0	1.0	0.412	z	BR
49.952	2.007	1-back	0.0	1.0	0.605	l	TR
51.959	2.006	1-back	1.0	1.0	0.501	v	TR
53.965	2.006	1-back	0.0	1.0	0.538	n	BR
55.971	2.006	1-back	0.0	1.0	0.534	r	BL
57.977	2.006	1-back	1.0	1.0	0.559	s	BL
59.983	2.006	1-back	0.0	1.0	0.632	z	TR
61.989	2.006	1-back	0.0	1.0	1.071	l	TL
63.995	2.006	1-back	0.0	1.0	0.548	g	BR
66.001	2.006	1-back	1.0	1.0	0.41	f	BR
68.007	2.006	1-back	0.0	1.0	0.49	t	TR
70.013	2.006	1-back	0.0	1.0	0.772	z	TL
72.019	2.006	1-back	1.0	1.0	0.526	l	TL
74.025	2.006	1-back	0.0	1.0	0.441	f	BL
76.031	2.006	1-back	0.0	1.0	0.484	t	TR
78.037	2.006	1-back	1.0	1.0	0.321	r	TR
80.043	2.006	1-back	0.0	1.0	0.506	l	BR
82.049	2.006	1-back	1.0	1.0	0.404	z	BR
84.055	2.006	1-back	0.0	1.0	0.52	r	TR
86.061	2.006	1-back	1.0	1.0	0.42	v	TR
88.067	2.006	1-back	0.0	1.0	0.484	s	BL
90.073	2.006	1-back	1.0	1.0	0.637	f	BL
92.079	2.006	1-back	0.0	1.0	0.4	v	TL
94.085	2.006	1-back	0.0	1.0	0.485	x	BR
96.091	2.006	1-back	1.0	1.0	0.309	c	BR
98.097	6.02	1-back	0.0	1.0	0.454	s	BL
104.117	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.14	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.179	2.023	baseline	1.0	1.0	0.416	redcross.bmp	n/a
110.202	2.023	baseline	1.0	1.0	0.458	redcross.bmp	n/a
112.225	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.264	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.287	2.039	baseline	1.0	1.0	0.26	redcross.bmp	n/a
118.326	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.349	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.372	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.395	2.022	baseline	1.0	1.0	0.377	redcross.bmp	n/a
126.417	6.033	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.45	1.806	no_response	n/a	1.0	n/a	c	BL
134.256	1.805	no_response	n/a	0.0	0.509	l	TR
136.061	2.006	2-back	1.0	0.0	0.595	v	BL
138.067	2.006	2-back	1.0	0.0	0.553	p	TR
140.073	2.006	2-back	0.0	1.0	0.867	r	TL
142.079	2.006	2-back	0.0	1.0	0.506	t	BR
144.085	2.006	2-back	1.0	1.0	0.391	n	TL
146.091	2.006	2-back	0.0	1.0	0.637	s	TR
