onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.014	1.806	no_response	n/a	1.0	n/a	z	TR
5.82	1.805	no_response	n/a	1.0	n/a	n	BL
7.625	2.023	2-back	0.0	1.0	0.842	g	BL
9.648	2.023	2-back	0.0	1.0	0.866	p	TR
11.671	2.022	2-back	1.0	1.0	0.68	g	TL
13.693	2.023	2-back	0.0	1.0	0.62	s	TL
15.716	2.023	2-back	0.0	1.0	0.736	f	BL
17.739	2.023	2-back	1.0	1.0	0.578	s	TR
19.762	2.022	2-back	1.0	1.0	0.589	f	TR
21.784	2.023	2-back	0.0	1.0	0.584	c	TL
23.807	2.023	2-back	0.0	1.0	0.774	x	BR
25.83	2.023	2-back	1.0	1.0	0.637	c	BL
27.853	2.022	2-back	0.0	1.0	0.724	l	TL
29.875	2.023	2-back	0.0	1.0	0.661	v	TL
31.898	2.023	2-back	0.0	1.0	0.773	p	TR
33.921	2.022	2-back	1.0	1.0	0.659	v	BR
35.943	2.023	2-back	0.0	1.0	0.546	c	TL
37.966	2.023	2-back	0.0	1.0	0.632	s	TL
39.989	2.023	2-back	0.0	1.0	0.769	t	BL
42.012	2.022	2-back	0.0	1.0	0.653	x	BR
44.034	2.023	2-back	1.0	1.0	0.518	t	TL
46.057	2.023	2-back	0.0	1.0	0.503	r	BL
48.08	2.022	2-back	0.0	1.0	0.531	n	BR
50.102	2.023	2-back	1.0	1.0	0.55	r	BR
52.125	2.023	2-back	0.0	1.0	0.554	l	TR
54.148	2.023	2-back	0.0	1.0	0.816	v	BL
56.171	2.022	2-back	1.0	1.0	0.515	l	BR
58.193	2.023	2-back	1.0	1.0	0.985	v	TR
60.216	2.023	2-back	0.0	1.0	0.626	s	BL
62.239	2.023	2-back	0.0	1.0	0.649	t	BR
64.262	2.022	2-back	0.0	1.0	0.65	c	BR
66.284	2.023	2-back	1.0	1.0	0.574	t	TR
68.307	2.023	2-back	0.0	1.0	0.691	n	TL
70.33	2.022	2-back	0.0	1.0	0.791	l	BR
72.352	2.023	2-back	1.0	1.0	0.648	n	TR
74.375	2.023	2-back	0.0	1.0	0.633	p	TL
76.398	2.023	2-back	0.0	1.0	0.692	x	BL
78.421	2.022	2-back	1.0	1.0	0.576	p	TR
80.443	2.023	2-back	0.0	1.0	0.567	f	BR
82.466	2.023	2-back	0.0	1.0	0.831	z	TL
84.489	2.022	2-back	1.0	1.0	0.642	f	TR
86.511	2.023	2-back	0.0	1.0	0.534	r	BL
88.534	2.023	2-back	0.0	1.0	0.61	x	BR
90.557	2.023	2-back	1.0	1.0	0.591	r	TR
92.58	2.022	2-back	0.0	1.0	0.586	g	BL
94.602	2.023	2-back	0.0	1.0	0.686	z	BL
96.625	2.023	2-back	1.0	1.0	0.54	g	TL
98.648	6.037	2-back	1.0	0.0	0.607	z	BR
104.685	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.707	2.023	baseline	1.0	1.0	0.524	redcross.bmp	n/a
108.73	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.753	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.775	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.798	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.821	2.023	baseline	1.0	1.0	0.341	redcross.bmp	n/a
118.844	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.866	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.889	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.912	2.022	baseline	1.0	1.0	0.467	redcross.bmp	n/a
126.934	6.033	baseline	1.0	1.0	0.552	redcross.bmp	n/a
132.967	1.806	no_response	n/a	1.0	n/a	l	TR
134.773	2.022	1-back	1.0	1.0	0.848	l	BL
136.795	2.023	1-back	0.0	1.0	0.561	s	TR
138.818	2.023	1-back	0.0	1.0	0.568	z	BL
140.841	2.022	1-back	0.0	1.0	0.495	t	TL
142.863	2.023	1-back	0.0	1.0	0.517	x	BR
144.886	2.023	1-back	1.0	1.0	0.563	x	TL
146.909	2.023	1-back	0.0	1.0	0.691	n	BL
148.932	2.022	1-back	0.0	1.0	0.62	s	TR
150.954	2.023	1-back	0.0	1.0	0.635	l	BR
152.977	2.023	1-back	1.0	1.0	0.463	l	TL
155.0	2.023	1-back	0.0	1.0	0.586	g	BR
157.023	2.022	1-back	1.0	1.0	0.602	g	TR
159.045	2.023	1-back	0.0	1.0	0.668	r	TL
161.068	2.023	1-back	1.0	1.0	0.606	r	TR
163.091	2.022	1-back	0.0	1.0	0.648	x	BL
165.113	2.023	1-back	0.0	1.0	0.662	p	TR
167.136	2.023	1-back	1.0	1.0	0.629	p	TL
169.159	2.023	1-back	0.0	1.0	0.856	c	TR
171.182	2.022	1-back	0.0	1.0	0.773	r	BL
173.204	2.023	1-back	0.0	1.0	0.808	f	TR
175.227	2.023	1-back	1.0	1.0	0.582	f	BR
177.25	2.022	1-back	1.0	1.0	0.603	f	BL
179.272	2.023	1-back	0.0	1.0	0.495	c	TL
181.295	2.023	1-back	0.0	1.0	0.729	z	BL
183.318	2.023	1-back	1.0	1.0	0.571	z	BR
185.341	2.022	1-back	0.0	1.0	0.59	v	BL
187.363	2.023	1-back	0.0	1.0	0.664	p	TL
189.386	2.023	1-back	1.0	1.0	0.454	p	TR
191.409	2.023	1-back	0.0	1.0	0.755	n	BR
193.432	2.022	1-back	0.0	1.0	0.676	s	BL
195.454	2.023	1-back	1.0	1.0	0.54	s	TL
197.477	2.023	1-back	0.0	1.0	0.654	z	TR
199.5	2.022	1-back	0.0	1.0	0.705	v	BL
201.522	2.023	1-back	0.0	1.0	0.631	t	BR
203.545	2.023	1-back	1.0	1.0	0.518	t	TL
205.568	2.023	1-back	1.0	1.0	0.66	t	BR
207.591	2.022	1-back	0.0	1.0	0.488	g	TL
209.613	2.023	1-back	0.0	1.0	0.752	x	BR
211.636	2.023	1-back	0.0	1.0	0.609	g	BL
213.659	2.023	1-back	0.0	1.0	0.711	c	TL
215.682	2.022	1-back	1.0	1.0	0.548	c	TR
217.704	2.023	1-back	0.0	1.0	0.591	v	BR
219.727	2.023	1-back	1.0	1.0	0.628	v	TL
221.75	2.022	1-back	0.0	1.0	0.687	f	TR
223.772	2.023	1-back	0.0	1.0	0.805	r	BR
225.795	2.023	1-back	0.0	1.0	0.717	n	BL
227.818	6.037	1-back	1.0	1.0	0.617	n	BR
233.855	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.877	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.9	2.023	baseline	1.0	1.0	0.371	redcross.bmp	n/a
239.923	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.945	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.968	2.023	baseline	1.0	1.0	0.334	redcross.bmp	n/a
245.991	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
248.014	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
250.037	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.059	2.023	baseline	1.0	1.0	0.316	redcross.bmp	n/a
254.082	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
256.121	2.0	baseline	1.0	1.0	0.381	redcross.bmp	n/a
