onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	1.0	n/a	c	TR
5.82	1.999	1-back	0.0	1.0	0.588	g	BL
7.819	1.999	1-back	0.0	1.0	0.6	p	TR
9.818	1.999	1-back	1.0	1.0	0.537	p	BL
11.817	2.0	1-back	0.0	1.0	0.467	t	TL
13.817	1.999	1-back	0.0	1.0	0.47	v	BR
15.816	1.999	1-back	1.0	1.0	0.522	v	TL
17.815	1.999	1-back	0.0	1.0	0.426	s	BL
19.814	1.999	1-back	1.0	1.0	0.417	s	TR
21.813	2.0	1-back	0.0	1.0	0.363	x	BR
23.813	1.999	1-back	0.0	1.0	0.583	n	TL
25.812	1.999	1-back	1.0	1.0	0.401	n	BR
27.811	1.999	1-back	0.0	1.0	0.39	f	TR
29.81	2.0	1-back	1.0	1.0	0.482	f	TL
31.81	1.999	1-back	0.0	1.0	0.367	l	TR
33.809	1.999	1-back	0.0	1.0	0.418	r	BL
35.808	1.999	1-back	0.0	1.0	0.391	z	TR
37.807	2.0	1-back	1.0	1.0	0.376	z	TL
39.807	1.999	1-back	0.0	1.0	0.412	c	TR
41.806	1.999	1-back	1.0	1.0	0.465	c	BL
43.805	1.999	1-back	0.0	1.0	0.37	g	TR
45.804	1.999	1-back	1.0	1.0	0.513	g	BR
47.803	2.0	1-back	0.0	1.0	0.414	x	BL
49.803	1.999	1-back	0.0	1.0	0.478	t	TL
51.802	1.999	1-back	1.0	1.0	0.365	t	BL
53.801	1.999	1-back	0.0	1.0	0.511	r	BR
55.8	2.0	1-back	0.0	1.0	0.441	p	BL
57.8	1.999	1-back	0.0	1.0	0.698	v	TL
59.799	1.999	1-back	0.0	1.0	0.356	s	TR
61.798	1.999	1-back	1.0	1.0	0.399	s	BR
63.797	2.0	1-back	0.0	1.0	0.332	x	BL
65.797	1.999	1-back	1.0	1.0	0.521	x	TL
67.796	1.999	1-back	0.0	1.0	0.395	l	TR
69.795	1.999	1-back	1.0	1.0	0.539	l	BL
71.794	1.999	1-back	0.0	1.0	0.285	n	BR
73.793	2.0	1-back	1.0	1.0	0.476	n	TL
75.793	1.999	1-back	0.0	1.0	0.468	z	BR
77.792	1.999	1-back	1.0	1.0	0.368	z	TL
79.791	1.999	1-back	0.0	1.0	0.428	c	BR
81.79	2.0	1-back	0.0	1.0	0.396	g	BL
83.79	1.999	1-back	0.0	1.0	0.413	p	TL
85.789	1.999	1-back	0.0	1.0	0.356	t	TR
87.788	1.999	1-back	0.0	1.0	0.362	v	BR
89.787	2.0	1-back	0.0	1.0	0.371	f	TL
91.787	1.999	1-back	1.0	1.0	0.537	f	TR
93.786	1.999	1-back	0.0	1.0	0.446	l	BR
95.785	1.999	1-back	0.0	1.0	0.408	r	BL
97.784	6.038	1-back	1.0	1.0	0.47	r	BR
103.822	2.039	baseline	1.0	1.0	0.456	redcross.bmp	n/a
105.861	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.9	2.039	baseline	1.0	1.0	0.365	redcross.bmp	n/a
109.939	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
111.979	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.018	2.039	baseline	1.0	1.0	0.337	redcross.bmp	n/a
116.057	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.096	2.039	baseline	1.0	1.0	0.354	redcross.bmp	n/a
120.135	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.175	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.214	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.253	6.038	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.291	1.799	no_response	n/a	1.0	n/a	r	TR
134.09	1.8	no_response	n/a	1.0	n/a	p	BL
135.89	1.999	2-back	0.0	1.0	0.484	s	BL
137.889	1.999	2-back	1.0	1.0	0.671	p	TR
139.888	1.999	2-back	0.0	1.0	0.473	c	TL
141.887	1.999	2-back	0.0	1.0	0.75	g	TL
143.886	2.0	2-back	1.0	1.0	0.654	c	BL
145.886	1.999	2-back	0.0	1.0	0.442	f	TR
147.885	1.999	2-back	0.0	1.0	0.366	x	TR
149.884	1.999	2-back	0.0	1.0	0.426	z	TL
151.883	2.0	2-back	1.0	1.0	0.606	x	BR
153.883	1.999	2-back	0.0	1.0	0.436	g	BL
155.882	1.999	2-back	0.0	1.0	0.612	v	TL
157.881	1.999	2-back	1.0	1.0	0.56	g	TL
159.88	2.0	2-back	1.0	1.0	0.559	v	TR
161.88	1.999	2-back	0.0	1.0	0.718	z	BR
163.879	1.999	2-back	0.0	1.0	0.455	n	TL
165.878	1.999	2-back	1.0	1.0	0.499	z	TL
167.877	1.999	2-back	0.0	1.0	0.624	s	BL
169.876	2.0	2-back	1.0	1.0	0.678	z	BR
171.876	1.999	2-back	0.0	1.0	0.534	t	TL
173.875	1.999	2-back	0.0	1.0	0.594	f	BL
175.874	1.999	2-back	1.0	1.0	0.676	t	BR
177.873	2.0	2-back	0.0	1.0	0.468	r	BR
179.873	1.999	2-back	0.0	1.0	0.58	c	TR
181.872	1.999	2-back	1.0	1.0	0.963	r	BL
183.871	1.999	2-back	0.0	0.0	0.677	f	BR
185.87	2.0	2-back	0.0	1.0	0.598	t	TR
187.87	1.999	2-back	1.0	1.0	0.547	f	BL
189.869	1.999	2-back	0.0	1.0	0.55	c	BR
191.868	1.999	2-back	0.0	1.0	0.623	l	BR
193.867	1.999	2-back	0.0	1.0	0.453	n	TR
195.866	2.0	2-back	1.0	1.0	0.519	l	TL
197.866	1.999	2-back	0.0	1.0	0.523	s	BR
199.865	1.999	2-back	0.0	1.0	0.479	g	TR
201.864	1.999	2-back	1.0	1.0	0.547	s	TL
