onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
2.021	1.8	no_response	n/a	1.0	n/a	v	TR
3.821	2.012	1-back	0.0	1.0	0.845	p	TL
5.833	2.013	1-back	0.0	1.0	0.872	z	BL
7.846	2.012	1-back	1.0	1.0	0.799	c	BL
9.858	2.013	1-back	0.0	1.0	0.737	t	TR
11.871	2.013	1-back	0.0	1.0	0.589	l	TL
13.884	2.012	1-back	1.0	1.0	0.663	c	TL
15.896	2.013	1-back	0.0	1.0	0.907	v	BL
17.909	2.012	1-back	0.0	1.0	0.534	n	BR
19.921	2.013	1-back	1.0	1.0	0.604	l	BR
21.934	2.012	1-back	0.0	1.0	0.711	v	TL
23.946	2.013	1-back	0.0	1.0	0.77	c	BR
25.959	2.012	1-back	0.0	1.0	0.705	r	TR
27.971	2.013	1-back	1.0	1.0	0.468	t	TR
29.984	2.013	1-back	0.0	1.0	0.842	n	BL
31.997	2.012	1-back	1.0	1.0	0.416	s	BL
34.009	2.013	1-back	0.0	1.0	1.051	v	TR
36.022	2.012	1-back	0.0	1.0	0.747	p	TL
38.034	2.013	1-back	1.0	1.0	0.439	c	TL
40.047	2.012	1-back	0.0	1.0	0.701	g	TR
42.059	2.013	1-back	1.0	1.0	0.669	z	TR
44.072	2.012	1-back	0.0	1.0	0.607	x	BR
46.084	2.013	1-back	0.0	1.0	0.627	g	BL
48.097	2.013	1-back	0.0	1.0	0.577	l	TL
50.11	2.012	1-back	0.0	1.0	0.534	r	BL
52.122	2.013	1-back	1.0	1.0	0.502	x	BL
54.135	2.012	1-back	0.0	1.0	0.69	f	BR
56.147	2.013	1-back	0.0	1.0	0.645	z	TR
58.16	2.012	1-back	1.0	1.0	0.532	r	TR
60.172	2.013	1-back	0.0	1.0	0.758	f	BL
62.185	2.012	1-back	1.0	1.0	0.545	n	BL
64.197	2.013	1-back	0.0	1.0	0.526	x	TR
66.21	2.013	1-back	1.0	1.0	0.497	t	TR
68.223	2.012	1-back	0.0	1.0	0.457	p	BR
70.235	2.013	1-back	1.0	1.0	0.508	x	BR
72.248	2.012	1-back	0.0	1.0	0.462	t	TL
74.26	2.013	1-back	1.0	1.0	0.37	s	TL
76.273	2.012	1-back	0.0	1.0	0.476	f	BL
78.285	2.013	1-back	0.0	1.0	0.578	l	BR
80.298	2.013	1-back	1.0	1.0	0.35	g	BR
82.311	2.012	1-back	0.0	1.0	0.364	n	TL
84.323	2.013	1-back	0.0	1.0	0.586	s	TR
86.336	2.012	1-back	0.0	1.0	0.594	p	BR
88.348	2.013	1-back	0.0	1.0	0.462	r	TL
90.361	2.012	1-back	1.0	1.0	0.426	s	TL
92.373	2.013	1-back	0.0	1.0	0.342	g	BR
94.386	2.012	1-back	1.0	0.0	0.387	z	BR
96.398	6.051	1-back	0.0	1.0	0.982	f	BL
102.449	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
104.488	2.04	baseline	1.0	1.0	0.334	redcross.bmp	n/a
106.528	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.567	2.039	baseline	1.0	1.0	0.274	redcross.bmp	n/a
110.606	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.645	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.684	2.04	baseline	1.0	1.0	0.412	redcross.bmp	n/a
116.724	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.763	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.802	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.841	2.04	baseline	1.0	1.0	0.396	redcross.bmp	n/a
124.881	6.037	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
130.918	1.8	no_response	n/a	1.0	n/a	c	BL
132.718	1.799	no_response	n/a	1.0	n/a	p	BR
134.517	2.013	2-back	1.0	1.0	0.376	n	BL
136.53	2.012	2-back	0.0	1.0	0.706	x	TR
138.542	2.013	2-back	0.0	1.0	0.831	g	TL
140.555	2.012	2-back	1.0	1.0	0.439	p	TR
142.567	2.013	2-back	1.0	1.0	0.47	c	TL
144.58	2.012	2-back	0.0	1.0	0.588	x	BL
146.592	2.013	2-back	1.0	1.0	0.441	l	TL
148.605	2.013	2-back	0.0	1.0	0.442	v	TR
150.618	2.012	2-back	0.0	0.0	0.778	g	TR
152.63	2.013	2-back	0.0	0.0	n/a	t	BR
154.643	2.012	2-back	0.0	0.0	0.849	z	BL
156.655	2.013	2-back	1.0	1.0	0.892	n	BR
158.668	2.012	2-back	0.0	1.0	0.738	f	TL
160.68	2.013	2-back	0.0	1.0	0.664	n	TR
162.693	2.012	2-back	1.0	1.0	0.499	t	TL
164.705	2.013	2-back	0.0	1.0	0.56	v	BL
166.718	2.013	2-back	1.0	0.0	0.65	l	TL
168.731	2.012	2-back	0.0	1.0	0.846	r	TL
170.743	2.013	2-back	0.0	1.0	0.705	s	BR
172.756	2.012	2-back	0.0	1.0	0.62	v	BL
174.768	2.013	2-back	1.0	1.0	0.757	n	BR
176.781	2.012	2-back	0.0	1.0	0.563	p	TL
178.793	2.013	2-back	0.0	1.0	0.651	s	TR
180.806	2.012	2-back	0.0	1.0	0.719	g	BR
182.818	2.013	2-back	0.0	1.0	0.764	p	BL
184.831	2.013	2-back	1.0	1.0	0.679	f	BR
186.844	2.012	2-back	0.0	1.0	0.536	r	TR
188.856	2.013	2-back	0.0	0.0	0.755	s	BL
190.869	2.012	2-back	1.0	1.0	0.905	z	TR
192.881	2.013	2-back	1.0	1.0	0.994	x	BL
194.894	2.012	2-back	0.0	1.0	0.742	c	TL
196.906	2.013	2-back	0.0	1.0	0.68	r	TR
198.919	2.012	2-back	0.0	1.0	0.721	v	BR
200.931	2.013	2-back	0.0	1.0	0.43	l	TL
202.944	2.013	2-back	1.0	1.0	0.407	c	BR
204.957	2.012	2-back	0.0	1.0	0.731	s	TR
206.969	2.013	2-back	1.0	1.0	0.618	t	BR
208.982	2.012	2-back	0.0	1.0	0.531	r	BL
210.994	2.013	2-back	0.0	1.0	0.714	f	TL
213.007	2.012	2-back	1.0	1.0	0.737	z	BL
215.019	2.013	2-back	0.0	1.0	0.539	l	TR
217.032	2.013	2-back	0.0	1.0	0.654	x	TL
219.045	2.012	2-back	1.0	0.0	0.937	f	TR
221.057	2.013	2-back	0.0	1.0	1.009	g	BR
223.07	2.012	2-back	0.0	1.0	0.574	t	BL
225.082	6.051	2-back	1.0	1.0	0.588	z	BR
231.133	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
233.172	2.039	baseline	1.0	1.0	0.397	redcross.bmp	n/a
235.211	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.251	2.039	baseline	1.0	1.0	0.382	redcross.bmp	n/a
239.29	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.329	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.368	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.407	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.447	2.039	baseline	1.0	1.0	0.34	redcross.bmp	n/a
249.486	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
251.525	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
253.564	2.0	baseline	1.0	1.0	0.345	redcross.bmp	n/a
