onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.014	1.806	no_response	n/a	1.0	n/a	c	TR
5.82	1.805	no_response	n/a	1.0	n/a	g	BL
7.625	2.023	2-back	1.0	1.0	0.527	c	BL
9.648	2.023	2-back	0.0	1.0	0.563	p	TR
11.671	2.022	2-back	0.0	1.0	0.576	v	TL
13.693	2.023	2-back	1.0	1.0	0.532	p	TL
15.716	2.023	2-back	0.0	1.0	0.461	s	BL
17.739	2.023	2-back	0.0	1.0	0.414	x	TR
19.762	2.022	2-back	1.0	1.0	0.464	s	TR
21.784	2.023	2-back	1.0	1.0	0.409	x	TL
23.807	2.023	2-back	0.0	1.0	0.403	n	BR
25.83	2.023	2-back	0.0	1.0	0.459	f	BL
27.853	2.022	2-back	1.0	1.0	0.597	n	TL
29.875	2.023	2-back	0.0	1.0	0.507	t	TL
31.898	2.023	2-back	0.0	1.0	0.608	l	TR
33.921	2.023	2-back	0.0	1.0	0.483	r	BR
35.944	2.022	2-back	1.0	1.0	0.652	l	TL
37.966	2.023	2-back	0.0	1.0	0.501	z	TL
39.989	2.023	2-back	0.0	1.0	0.536	v	BL
42.012	2.023	2-back	0.0	1.0	0.433	t	BR
44.035	2.022	2-back	0.0	1.0	0.5	g	TL
46.057	2.023	2-back	1.0	1.0	0.625	t	BL
48.08	2.023	2-back	0.0	1.0	0.437	f	BR
50.103	2.023	2-back	0.0	1.0	0.495	r	BR
52.126	2.022	2-back	1.0	1.0	0.547	f	TR
54.148	2.023	2-back	0.0	1.0	0.456	z	BL
56.171	2.023	2-back	0.0	1.0	0.444	c	BR
58.194	2.023	2-back	0.0	0.0	0.584	g	TR
60.217	2.022	2-back	1.0	0.0	0.493	c	BL
62.239	2.023	2-back	0.0	1.0	0.508	p	BR
64.262	2.023	2-back	0.0	1.0	0.503	v	BR
66.285	2.022	2-back	1.0	1.0	0.56	p	TR
68.307	2.023	2-back	0.0	1.0	0.931	s	TL
70.33	2.023	2-back	0.0	0.0	0.629	t	BR
72.353	2.023	2-back	1.0	1.0	0.684	s	TR
74.376	2.022	2-back	0.0	1.0	0.672	r	TL
76.398	2.023	2-back	0.0	1.0	0.984	z	BL
78.421	2.023	2-back	1.0	1.0	0.64	r	TR
80.444	2.023	2-back	1.0	1.0	0.827	z	BR
82.467	2.022	2-back	0.0	1.0	0.537	n	TL
84.489	2.023	2-back	0.0	1.0	0.534	g	TR
86.512	2.023	2-back	1.0	1.0	0.604	n	BL
88.535	2.023	2-back	0.0	1.0	0.519	x	BR
90.558	2.022	2-back	0.0	1.0	0.662	v	TR
92.58	2.023	2-back	1.0	1.0	0.546	x	BL
94.603	2.023	2-back	0.0	1.0	0.61	l	BL
96.626	2.023	2-back	0.0	1.0	0.688	f	TL
98.649	6.036	2-back	1.0	1.0	0.65	l	BR
104.685	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.708	2.023	baseline	1.0	1.0	0.324	redcross.bmp	n/a
108.731	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.754	2.022	baseline	1.0	1.0	0.36	redcross.bmp	n/a
112.776	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.799	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.822	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.845	2.022	baseline	1.0	1.0	0.425	redcross.bmp	n/a
120.867	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.89	2.023	baseline	1.0	1.0	0.668	redcross.bmp	n/a
124.913	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.936	6.032	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.968	1.806	no_response	n/a	1.0	n/a	v	TR
134.774	2.022	1-back	1.0	1.0	0.584	v	BL
136.796	2.023	1-back	0.0	1.0	1.134	p	TR
138.819	2.023	1-back	0.0	1.0	0.631	g	BL
140.842	2.023	1-back	1.0	1.0	0.638	g	TL
142.865	2.022	1-back	0.0	1.0	0.446	z	BR
144.887	2.023	1-back	0.0	1.0	0.527	l	TL
146.91	2.023	1-back	0.0	1.0	0.663	t	BL
148.933	2.023	1-back	1.0	1.0	0.587	t	TR
150.956	2.022	1-back	0.0	1.0	0.508	s	BR
152.978	2.023	1-back	0.0	1.0	0.731	l	TL
155.001	2.023	1-back	0.0	1.0	0.43	x	BR
157.024	2.023	1-back	1.0	1.0	0.59	x	TR
159.047	2.022	1-back	1.0	1.0	0.554	x	TL
161.069	2.023	1-back	0.0	1.0	0.536	s	TR
