onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
2.008	1.806	no_response	n/a	1.0	n/a	v	TR
3.814	2.023	1-back	0.0	1.0	0.557	p	TL
5.837	2.022	1-back	0.0	1.0	0.635	z	BL
7.859	2.023	1-back	1.0	1.0	0.663	c	BL
9.882	2.023	1-back	0.0	1.0	0.56	t	TR
11.905	2.023	1-back	0.0	1.0	0.513	l	TL
13.928	2.022	1-back	1.0	1.0	0.448	c	TL
15.95	2.023	1-back	0.0	1.0	0.56	v	BL
17.973	2.023	1-back	0.0	1.0	0.639	n	BR
19.996	2.022	1-back	1.0	1.0	0.525	l	BR
22.018	2.023	1-back	0.0	1.0	0.465	v	TL
24.041	2.023	1-back	0.0	1.0	0.473	c	BR
26.064	2.023	1-back	0.0	1.0	0.606	r	TR
28.087	2.022	1-back	1.0	1.0	0.49	t	TR
30.109	2.023	1-back	0.0	1.0	0.457	n	BL
32.132	2.023	1-back	1.0	1.0	0.659	s	BL
34.155	2.023	1-back	0.0	1.0	0.583	v	TR
36.178	2.022	1-back	0.0	1.0	0.573	p	TL
38.2	2.023	1-back	1.0	1.0	0.653	c	TL
40.223	2.023	1-back	0.0	1.0	0.609	g	TR
42.246	2.023	1-back	1.0	1.0	0.593	z	TR
44.269	2.022	1-back	0.0	1.0	0.545	x	BR
46.291	2.023	1-back	0.0	1.0	0.576	g	BL
48.314	2.023	1-back	0.0	1.0	0.566	l	TL
50.337	2.023	1-back	0.0	1.0	0.621	r	BL
52.36	2.022	1-back	1.0	0.0	0.573	x	BL
54.382	2.023	1-back	0.0	1.0	0.484	f	BR
56.405	2.023	1-back	0.0	1.0	0.506	z	TR
58.428	2.023	1-back	1.0	1.0	0.643	r	TR
60.451	2.022	1-back	0.0	1.0	0.605	f	BL
62.473	2.023	1-back	1.0	1.0	0.587	n	BL
64.496	2.023	1-back	0.0	1.0	0.684	x	TR
66.519	2.023	1-back	1.0	1.0	0.564	t	TR
68.542	2.022	1-back	0.0	1.0	0.51	p	BR
70.564	2.023	1-back	1.0	1.0	0.669	x	BR
72.587	2.023	1-back	0.0	1.0	0.613	t	TL
74.61	2.023	1-back	1.0	1.0	0.685	s	TL
76.633	2.022	1-back	0.0	1.0	0.551	f	BL
78.655	2.023	1-back	0.0	1.0	0.7	l	BR
80.678	2.023	1-back	1.0	1.0	0.504	g	BR
82.701	2.022	1-back	0.0	1.0	0.614	n	TL
84.723	2.023	1-back	0.0	1.0	0.567	s	TR
86.746	2.023	1-back	0.0	1.0	0.589	p	BR
