onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	1.0	n/a	t	TR
5.82	2.012	1-back	0.0	1.0	0.924	c	BR
7.832	2.013	1-back	0.0	1.0	0.917	n	BL
9.845	2.012	1-back	1.0	1.0	0.774	l	BL
11.857	2.013	1-back	0.0	1.0	0.609	g	TR
13.87	2.012	1-back	0.0	1.0	0.768	f	TL
15.882	2.013	1-back	1.0	1.0	0.646	p	TL
17.895	2.012	1-back	0.0	1.0	0.63	x	TR
19.907	2.013	1-back	1.0	1.0	0.829	n	TR
21.92	2.013	1-back	0.0	1.0	0.655	s	TL
23.933	2.012	1-back	0.0	1.0	0.802	r	BR
25.945	2.013	1-back	1.0	1.0	0.625	v	BR
27.958	2.012	1-back	0.0	1.0	0.813	l	TL
29.97	2.013	1-back	1.0	1.0	0.835	z	TL
31.983	2.012	1-back	0.0	1.0	0.595	c	TR
33.995	2.013	1-back	0.0	1.0	0.671	f	BL
36.008	2.012	1-back	0.0	1.0	0.817	p	TR
38.02	2.013	1-back	1.0	1.0	0.693	t	TR
40.033	2.013	1-back	0.0	1.0	0.562	g	BL
42.046	2.012	1-back	1.0	1.0	0.734	x	BL
44.058	2.013	1-back	0.0	1.0	0.583	c	TR
46.071	2.012	1-back	1.0	1.0	0.615	p	TR
48.083	2.013	1-back	0.0	1.0	0.585	z	TL
50.096	2.012	1-back	0.0	1.0	0.6	r	BL
52.108	2.013	1-back	1.0	1.0	0.634	n	BL
54.121	2.012	1-back	0.0	1.0	0.636	z	BR
56.133	2.013	1-back	0.0	1.0	0.753	f	BL
58.146	2.012	1-back	0.0	1.0	0.892	s	TL
60.158	2.013	1-back	0.0	1.0	0.586	v	BR
62.171	2.013	1-back	1.0	1.0	0.538	c	BR
64.184	2.012	1-back	0.0	1.0	0.698	z	TL
66.196	2.013	1-back	1.0	1.0	0.894	r	TL
68.209	2.012	1-back	0.0	1.0	0.561	l	TR
70.221	2.013	1-back	1.0	1.0	0.733	n	TR
72.234	2.012	1-back	0.0	1.0	0.616	v	BR
74.246	2.013	1-back	1.0	1.0	0.823	f	BR
76.259	2.012	1-back	0.0	1.0	0.51	r	TL
78.271	2.013	1-back	1.0	1.0	0.583	l	TL
80.284	2.013	1-back	0.0	1.0	0.518	x	BR
82.297	2.012	1-back	0.0	1.0	0.68	s	BL
84.309	2.013	1-back	0.0	1.0	0.845	g	TL
86.322	2.012	1-back	0.0	1.0	0.735	t	BL
88.334	2.013	1-back	0.0	1.0	0.754	p	BR
90.347	2.012	1-back	0.0	1.0	0.624	s	BL
92.359	2.013	1-back	1.0	1.0	0.632	x	BL
94.372	2.012	1-back	0.0	1.0	0.556	v	TR
96.384	2.013	1-back	0.0	1.0	0.611	t	BR
98.397	6.051	1-back	1.0	1.0	0.609	g	BR
104.448	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.487	2.039	baseline	1.0	1.0	0.407	redcross.bmp	n/a
108.526	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.565	2.04	baseline	1.0	1.0	0.422	redcross.bmp	n/a
112.605	2.039	baseline	1.0	1.0	0.507	redcross.bmp	n/a
114.644	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.683	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.722	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.761	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.801	2.039	baseline	1.0	1.0	0.369	redcross.bmp	n/a
124.84	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.879	6.038	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.917	1.799	no_response	n/a	1.0	n/a	r	TL
134.716	1.799	no_response	n/a	1.0	n/a	p	TR
136.515	2.013	2-back	0.0	1.0	0.506	x	BL
138.528	2.013	2-back	1.0	1.0	1.107	t	TR
140.541	2.012	2-back	0.0	1.0	0.964	g	TL
142.553	2.013	2-back	0.0	1.0	0.845	n	BL
144.566	2.012	2-back	1.0	1.0	0.733	z	TL
146.578	2.013	2-back	0.0	1.0	0.77	c	TR
148.591	2.012	2-back	0.0	1.0	0.826	v	BR
150.603	2.013	2-back	0.0	1.0	0.811	n	BL
152.616	2.012	2-back	1.0	1.0	0.731	g	BR
154.628	2.013	2-back	0.0	1.0	0.669	s	TL
156.641	2.013	2-back	0.0	1.0	0.642	v	TR
158.654	2.012	2-back	1.0	1.0	0.668	l	TL
160.666	2.013	2-back	1.0	1.0	0.904	f	TR
162.679	2.012	2-back	0.0	1.0	0.918	s	BR
164.691	2.013	2-back	0.0	0.0	n/a	c	TL
166.704	2.012	2-back	0.0	1.0	0.93	r	BL
168.716	2.013	2-back	1.0	1.0	0.667	s	TL
170.729	2.012	2-back	0.0	1.0	0.726	l	BR
172.741	2.013	2-back	0.0	1.0	0.955	z	BL
174.754	2.013	2-back	1.0	1.0	0.685	x	BR
176.767	2.012	2-back	0.0	1.0	0.603	f	TL
178.779	2.013	2-back	0.0	1.0	0.771	t	TL
180.792	2.012	2-back	0.0	1.0	0.748	x	TR
182.804	2.013	2-back	1.0	1.0	0.615	r	TL
184.817	2.012	2-back	0.0	1.0	0.637	l	BR
186.829	2.013	2-back	0.0	1.0	0.69	n	BL
188.842	2.012	2-back	1.0	1.0	0.628	s	BR
190.854	2.013	2-back	0.0	1.0	0.805	f	BR
192.867	2.013	2-back	0.0	0.0	0.739	g	BL
194.88	2.012	2-back	0.0	1.0	0.683	p	TR
196.892	2.013	2-back	1.0	0.0	0.95	v	BL
198.905	2.012	2-back	0.0	1.0	0.906	t	BR
200.917	2.013	2-back	1.0	1.0	0.803	t	BL
202.93	2.012	2-back	0.0	1.0	0.815	z	TL
204.942	2.013	2-back	0.0	1.0	0.829	f	TR
206.955	2.012	2-back	1.0	1.0	0.67	p	TL
208.967	2.013	2-back	1.0	1.0	0.804	g	TR
210.98	2.012	2-back	0.0	1.0	0.725	c	BL
212.992	2.013	2-back	1.0	1.0	0.784	r	TR
215.005	2.013	2-back	0.0	1.0	0.661	p	BR
217.018	2.012	2-back	0.0	1.0	0.664	x	TL
219.03	2.013	2-back	0.0	1.0	0.764	l	TR
221.043	2.012	2-back	0.0	1.0	0.677	z	BL
223.055	2.013	2-back	0.0	1.0	0.682	c	BR
225.068	2.012	2-back	1.0	1.0	0.774	n	BL
227.08	6.051	2-back	1.0	1.0	0.801	v	BR
233.131	2.039	baseline	1.0	1.0	0.45	redcross.bmp	n/a
235.17	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.21	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.249	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.288	2.039	baseline	1.0	1.0	0.353	redcross.bmp	n/a
243.327	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.366	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.406	2.039	baseline	1.0	1.0	0.354	redcross.bmp	n/a
249.445	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
251.484	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
253.523	2.039	baseline	1.0	1.0	0.351	redcross.bmp	n/a
255.562	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
