onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	1.0	n/a	z	TR
5.82	1.799	no_response	n/a	1.0	n/a	n	BL
7.619	2.012	2-back	0.0	1.0	0.582	g	BL
9.631	2.013	2-back	0.0	1.0	0.804	p	TR
11.644	2.013	2-back	1.0	1.0	0.719	g	TL
13.657	2.012	2-back	0.0	1.0	0.543	s	TL
15.669	2.013	2-back	0.0	1.0	0.614	f	BL
17.682	2.012	2-back	1.0	1.0	0.665	s	TR
19.694	2.013	2-back	1.0	1.0	0.738	f	TR
21.707	2.012	2-back	0.0	1.0	0.662	c	TL
23.719	2.013	2-back	0.0	1.0	0.688	x	BR
25.732	2.012	2-back	1.0	1.0	0.728	c	BL
27.744	2.013	2-back	0.0	1.0	0.541	l	TL
29.757	2.013	2-back	0.0	1.0	0.691	v	TL
31.77	2.012	2-back	0.0	1.0	0.649	p	TR
33.782	2.013	2-back	1.0	1.0	0.947	v	BR
35.795	2.012	2-back	0.0	1.0	0.58	c	TL
37.807	2.013	2-back	0.0	1.0	0.604	s	TL
39.82	2.012	2-back	0.0	1.0	0.565	t	BL
41.832	2.013	2-back	0.0	1.0	0.571	x	BR
43.845	2.012	2-back	1.0	1.0	0.787	t	TL
45.857	2.013	2-back	0.0	1.0	0.546	r	BL
47.87	2.013	2-back	0.0	1.0	0.567	n	BR
49.883	2.012	2-back	1.0	1.0	0.574	r	BR
51.895	2.013	2-back	0.0	1.0	0.478	l	TR
53.908	2.012	2-back	0.0	1.0	0.562	v	BL
55.92	2.013	2-back	1.0	1.0	0.648	l	BR
57.933	2.012	2-back	1.0	1.0	0.576	v	TR
59.945	2.013	2-back	0.0	1.0	0.448	s	BL
61.958	2.012	2-back	0.0	1.0	0.518	t	BR
63.97	2.013	2-back	0.0	1.0	0.813	c	BR
65.983	2.012	2-back	1.0	1.0	0.611	t	TR
67.995	2.013	2-back	0.0	1.0	0.448	n	TL
70.008	2.013	2-back	0.0	1.0	0.537	l	BR
72.021	2.012	2-back	1.0	1.0	0.521	n	TR
74.033	2.013	2-back	0.0	1.0	0.465	p	TL
76.046	2.012	2-back	0.0	1.0	0.469	x	BL
78.058	2.013	2-back	1.0	1.0	0.548	p	TR
80.071	2.012	2-back	0.0	1.0	0.501	f	BR
82.083	2.013	2-back	0.0	1.0	0.532	z	TL
84.096	2.012	2-back	1.0	1.0	0.511	f	TR
86.108	2.013	2-back	0.0	1.0	0.485	r	BL
88.121	2.013	2-back	0.0	1.0	0.481	x	BR
90.134	2.012	2-back	1.0	1.0	0.602	r	TR
92.146	2.013	2-back	0.0	1.0	0.462	g	BL
94.159	2.012	2-back	0.0	1.0	0.555	z	BL
96.171	2.013	2-back	1.0	1.0	0.58	g	TL
98.184	6.051	2-back	1.0	1.0	0.748	z	BR
104.235	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.274	2.039	baseline	1.0	1.0	0.451	redcross.bmp	n/a
108.313	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.352	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.391	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.431	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.47	2.039	baseline	1.0	1.0	0.48	redcross.bmp	n/a
118.509	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.548	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.587	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.627	2.039	baseline	1.0	1.0	0.45	redcross.bmp	n/a
126.666	6.038	baseline	1.0	1.0	0.453	redcross.bmp	n/a
