onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	t	TR
5.82	2.023	1-back	0.0	1.0	0.637	c	BR
7.843	2.023	1-back	0.0	1.0	0.75	n	BL
9.866	2.022	1-back	1.0	1.0	0.537	l	BL
11.888	2.023	1-back	0.0	1.0	0.482	g	TR
13.911	2.023	1-back	0.0	1.0	0.413	f	TL
15.934	2.023	1-back	1.0	1.0	0.619	p	TL
17.957	2.022	1-back	0.0	1.0	0.361	x	TR
19.979	2.023	1-back	1.0	1.0	0.58	n	TR
22.002	2.023	1-back	0.0	1.0	0.554	s	TL
24.025	2.022	1-back	0.0	1.0	0.456	r	BR
26.047	2.023	1-back	1.0	1.0	0.636	v	BR
28.07	2.023	1-back	0.0	1.0	0.73	l	TL
30.093	2.023	1-back	1.0	1.0	0.544	z	TL
32.116	2.022	1-back	0.0	1.0	0.38	c	TR
34.138	2.023	1-back	0.0	1.0	0.644	f	BL
36.161	2.023	1-back	0.0	0.0	n/a	p	TR
38.184	2.022	1-back	1.0	1.0	0.671	t	TR
40.206	2.023	1-back	0.0	1.0	0.607	g	BL
42.229	2.023	1-back	1.0	1.0	0.596	x	BL
44.252	2.023	1-back	0.0	1.0	0.485	c	TR
46.275	2.022	1-back	1.0	1.0	0.607	p	TR
48.297	2.023	1-back	0.0	1.0	0.51	z	TL
50.32	2.023	1-back	0.0	1.0	0.629	r	BL
52.343	2.022	1-back	1.0	1.0	0.648	n	BL
54.365	2.023	1-back	0.0	1.0	0.356	z	BR
56.388	2.023	1-back	0.0	1.0	0.662	f	BL
58.411	2.023	1-back	0.0	1.0	0.538	s	TL
60.434	2.022	1-back	0.0	1.0	0.647	v	BR
62.456	2.023	1-back	1.0	1.0	0.666	c	BR
64.479	2.023	1-back	0.0	1.0	0.489	z	TL
66.502	2.023	1-back	1.0	1.0	0.814	r	TL
68.525	2.022	1-back	0.0	1.0	0.353	l	TR
70.547	2.023	1-back	1.0	1.0	0.762	n	TR
72.57	2.023	1-back	0.0	1.0	0.495	v	BR
74.593	2.022	1-back	1.0	1.0	0.593	f	BR
76.615	2.023	1-back	0.0	1.0	0.415	r	TL
78.638	2.023	1-back	1.0	1.0	0.865	l	TL
80.661	2.023	1-back	0.0	1.0	0.391	x	BR
82.684	2.022	1-back	0.0	1.0	0.445	s	BL
84.706	2.023	1-back	0.0	1.0	0.516	g	TL
86.729	2.023	1-back	0.0	1.0	0.693	t	BL
88.752	2.022	1-back	0.0	1.0	0.714	p	BR
90.774	2.023	1-back	0.0	1.0	0.636	s	BL
92.797	2.023	1-back	1.0	1.0	0.543	x	BL
94.82	2.023	1-back	0.0	1.0	0.351	v	TR
96.843	2.022	1-back	0.0	1.0	0.372	t	BR
98.865	6.037	1-back	1.0	1.0	0.522	g	BR
104.902	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.925	2.022	baseline	1.0	1.0	0.381	redcross.bmp	n/a
108.947	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.97	2.023	baseline	1.0	1.0	0.295	redcross.bmp	n/a
112.993	2.039	baseline	1.0	1.0	0.706	redcross.bmp	n/a
115.032	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.055	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
119.078	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
121.1	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
123.123	2.023	baseline	1.0	1.0	0.487	redcross.bmp	n/a
125.146	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
127.169	6.032	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
133.201	1.806	no_response	n/a	0.0	0.816	r	TL
135.007	1.805	no_response	n/a	1.0	n/a	p	TR
136.812	2.023	2-back	0.0	1.0	0.654	x	BL
138.835	2.022	2-back	1.0	0.0	n/a	t	TR
140.857	2.023	2-back	0.0	0.0	0.722	g	TL
142.88	2.023	2-back	0.0	1.0	0.419	n	BL
144.903	2.023	2-back	1.0	1.0	0.769	z	TL
146.926	2.022	2-back	0.0	1.0	0.583	c	TR
148.948	2.023	2-back	0.0	1.0	0.651	v	BR
150.971	2.023	2-back	0.0	0.0	0.578	n	BL
152.994	2.022	2-back	1.0	1.0	1.015	g	BR
155.016	2.023	2-back	0.0	1.0	0.492	s	TL
157.039	2.023	2-back	0.0	1.0	0.657	v	TR
159.062	2.023	2-back	1.0	1.0	0.59	l	TL
161.085	2.022	2-back	1.0	0.0	0.656	f	TR
163.107	2.023	2-back	0.0	1.0	0.777	s	BR
165.13	2.023	2-back	0.0	1.0	0.737	c	TL
167.153	2.022	2-back	0.0	1.0	0.556	r	BL
169.175	2.023	2-back	1.0	1.0	0.877	s	TL
171.198	2.023	2-back	0.0	1.0	0.585	l	BR
173.221	2.023	2-back	0.0	0.0	0.76	z	BL
175.244	2.022	2-back	1.0	1.0	1.163	x	BR
177.266	2.023	2-back	0.0	1.0	0.693	f	TL
179.289	2.023	2-back	0.0	1.0	0.482	t	TL
181.312	2.022	2-back	0.0	1.0	0.595	x	TR
183.334	2.023	2-back	1.0	1.0	0.516	r	TL
185.357	2.023	2-back	0.0	1.0	0.514	l	BR
187.38	2.023	2-back	0.0	1.0	0.455	n	BL
189.403	2.022	2-back	1.0	1.0	0.641	s	BR
191.425	2.023	2-back	0.0	1.0	0.752	f	BR
193.448	2.023	2-back	0.0	1.0	0.839	g	BL
195.471	2.023	2-back	0.0	1.0	0.604	p	TR
197.494	2.022	2-back	1.0	1.0	0.633	v	BL
199.516	2.023	2-back	0.0	1.0	0.769	t	BR
201.539	2.023	2-back	1.0	0.0	0.923	t	BL
203.562	2.022	2-back	0.0	1.0	0.637	z	TL
205.584	2.023	2-back	0.0	1.0	0.462	f	TR
207.607	2.023	2-back	1.0	1.0	0.375	p	TL
209.63	2.023	2-back	1.0	1.0	0.541	g	TR
211.653	2.022	2-back	0.0	1.0	0.453	c	BL
213.675	2.023	2-back	1.0	1.0	0.944	r	TR
215.698	2.023	2-back	0.0	1.0	0.538	p	BR
217.721	2.022	2-back	0.0	1.0	0.55	x	TL
219.743	2.023	2-back	0.0	1.0	0.454	l	TR
221.766	2.023	2-back	0.0	0.0	0.633	z	BL
223.789	2.023	2-back	0.0	0.0	1.013	c	BR
225.812	2.022	2-back	1.0	1.0	0.769	n	BL
227.834	6.037	2-back	1.0	1.0	0.781	v	BR
233.871	2.023	baseline	1.0	1.0	0.618	redcross.bmp	n/a
235.894	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.916	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.939	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.962	2.023	baseline	1.0	1.0	0.282	redcross.bmp	n/a
243.985	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
246.007	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
248.03	2.023	baseline	1.0	1.0	0.693	redcross.bmp	n/a
250.053	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.075	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
254.098	2.023	baseline	1.0	1.0	0.408	redcross.bmp	n/a
256.121	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
