onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	p	TR
5.82	2.006	1-back	0.0	1.0	0.65	f	BL
7.826	2.006	1-back	1.0	1.0	0.819	n	BL
9.832	2.006	1-back	0.0	1.0	0.721	x	TR
11.838	2.006	1-back	0.0	1.0	0.638	c	TL
13.844	2.006	1-back	1.0	1.0	0.464	p	TL
15.85	2.006	1-back	0.0	1.0	0.524	n	BL
17.856	2.006	1-back	0.0	1.0	0.492	c	TR
19.862	2.006	1-back	1.0	1.0	0.661	g	TR
21.868	2.006	1-back	0.0	1.0	0.631	n	TL
23.874	2.006	1-back	0.0	1.0	0.451	s	BR
25.88	2.006	1-back	0.0	1.0	0.546	x	BL
27.886	2.006	1-back	0.0	1.0	0.638	t	TL
29.892	2.006	1-back	1.0	1.0	0.374	g	TL
31.898	2.006	1-back	0.0	1.0	0.477	p	BR
33.904	2.006	1-back	0.0	1.0	0.503	c	TL
35.91	2.006	1-back	1.0	1.0	0.438	r	TL
37.916	2.007	1-back	0.0	1.0	0.488	t	BL
39.923	2.006	1-back	1.0	1.0	0.458	v	BL
41.929	2.006	1-back	0.0	1.0	0.35	g	BR
43.935	2.006	1-back	0.0	1.0	0.46	p	TL
45.941	2.006	1-back	0.0	1.0	0.32	x	BR
47.947	2.006	1-back	1.0	0.0	0.347	z	BR
49.953	2.006	1-back	0.0	1.0	0.68	l	TR
51.959	2.006	1-back	1.0	1.0	0.572	v	TR
53.965	2.006	1-back	0.0	1.0	0.796	n	BR
55.971	2.006	1-back	0.0	1.0	0.586	r	BL
57.977	2.006	1-back	1.0	1.0	0.375	s	BL
59.983	2.006	1-back	0.0	1.0	0.494	z	TR
61.989	2.006	1-back	0.0	1.0	0.72	l	TL
63.995	2.006	1-back	0.0	1.0	0.449	g	BR
66.001	2.006	1-back	1.0	1.0	0.564	f	BR
68.007	2.006	1-back	0.0	1.0	0.486	t	TR
70.013	2.006	1-back	0.0	1.0	0.75	z	TL
72.019	2.006	1-back	1.0	1.0	0.52	l	TL
74.025	2.006	1-back	0.0	1.0	0.482	f	BL
76.031	2.006	1-back	0.0	1.0	0.481	t	TR
78.037	2.006	1-back	1.0	1.0	0.473	r	TR
80.043	2.006	1-back	0.0	1.0	0.501	l	BR
82.049	2.006	1-back	1.0	1.0	0.564	z	BR
84.055	2.006	1-back	0.0	1.0	0.608	r	TR
86.061	2.006	1-back	1.0	1.0	0.453	v	TR
88.067	2.006	1-back	0.0	1.0	0.474	s	BL
90.073	2.006	1-back	1.0	1.0	0.49	f	BL
92.079	2.006	1-back	0.0	1.0	0.534	v	TL
94.085	2.006	1-back	0.0	1.0	0.582	x	BR
96.091	2.006	1-back	1.0	1.0	0.539	c	BR
98.097	6.02	1-back	0.0	1.0	0.474	s	BL
104.117	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.14	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.163	2.023	baseline	1.0	1.0	0.452	redcross.bmp	n/a
110.186	2.022	baseline	1.0	1.0	0.624	redcross.bmp	n/a
112.208	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.231	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.254	2.022	baseline	1.0	1.0	0.472	redcross.bmp	n/a
118.276	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.299	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.322	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.345	2.022	baseline	1.0	1.0	0.437	redcross.bmp	n/a
126.367	6.033	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.4	1.806	no_response	n/a	1.0	n/a	c	BL
134.206	1.805	no_response	n/a	1.0	n/a	l	TR
136.011	2.006	2-back	1.0	1.0	0.758	v	BL
138.017	2.006	2-back	1.0	1.0	0.824	p	TR
140.023	2.006	2-back	0.0	1.0	0.59	r	TL
142.029	2.006	2-back	0.0	1.0	0.728	t	BR
144.035	2.006	2-back	1.0	1.0	0.597	n	TL
146.041	2.006	2-back	0.0	1.0	0.505	s	TR
148.047	2.006	2-back	0.0	1.0	0.642	f	BL
150.053	2.006	2-back	1.0	1.0	0.685	x	TR
152.059	2.006	2-back	0.0	1.0	0.687	v	BR
154.065	2.006	2-back	0.0	1.0	0.991	p	TL
156.071	2.006	2-back	1.0	1.0	0.681	f	BR
158.077	2.006	2-back	1.0	1.0	1.024	n	TL
160.083	2.006	2-back	0.0	1.0	0.746	x	TR
162.089	2.006	2-back	1.0	0.0	0.914	t	TL
164.095	2.006	2-back	0.0	1.0	0.758	s	BL
166.101	2.006	2-back	0.0	0.0	0.782	l	TR
168.107	2.006	2-back	1.0	0.0	0.764	f	BL
170.113	2.007	2-back	1.0	0.0	1.021	c	TR
172.12	2.006	2-back	0.0	0.0	1.136	r	TL
174.126	2.006	2-back	1.0	0.0	0.926	g	TR
176.132	2.006	2-back	0.0	1.0	0.874	s	BL
178.138	2.006	2-back	0.0	1.0	0.775	r	BR
180.144	2.006	2-back	1.0	0.0	0.833	v	BL
182.15	2.006	2-back	0.0	0.0	0.887	p	BL
184.156	2.006	2-back	0.0	1.0	1.044	t	TL
186.162	2.006	2-back	1.0	0.0	0.905	x	BL
188.168	2.006	2-back	0.0	1.0	0.832	z	BR
190.174	2.006	2-back	0.0	1.0	0.841	t	TR
192.18	2.006	2-back	0.0	1.0	0.81	g	TL
194.186	2.006	2-back	1.0	1.0	0.84	c	TR
196.192	2.006	2-back	0.0	1.0	0.728	p	BL
198.198	2.006	2-back	0.0	1.0	0.705	s	BR
200.204	2.006	2-back	0.0	1.0	0.648	v	TL
202.21	2.006	2-back	1.0	1.0	0.517	n	BR
204.216	2.006	2-back	0.0	1.0	0.783	c	BL
206.222	2.006	2-back	0.0	1.0	0.696	l	TL
208.228	2.006	2-back	0.0	1.0	0.627	x	BR
210.234	2.006	2-back	1.0	0.0	0.845	z	TL
212.24	2.006	2-back	0.0	1.0	0.663	g	TR
214.246	2.006	2-back	0.0	1.0	0.766	f	BR
216.252	2.006	2-back	0.0	1.0	0.698	z	TL
218.258	2.006	2-back	1.0	1.0	0.936	l	BR
220.264	2.006	2-back	0.0	1.0	0.681	r	TR
222.27	2.006	2-back	1.0	1.0	0.662	z	BR
224.276	2.006	2-back	0.0	0.0	0.687	n	BL
226.282	6.02	2-back	1.0	0.0	0.675	g	BR
232.302	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
234.325	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
236.348	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
238.37	2.023	baseline	1.0	1.0	0.659	redcross.bmp	n/a
240.393	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
242.416	2.023	baseline	1.0	1.0	0.4	redcross.bmp	n/a
