onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	r	TR
5.82	1.806	no_response	n/a	1.0	n/a	p	BL
7.626	2.006	2-back	0.0	1.0	0.754	s	BL
9.632	2.006	2-back	1.0	1.0	0.902	p	TR
11.638	2.006	2-back	0.0	1.0	0.646	c	TL
13.644	2.006	2-back	0.0	1.0	1.161	g	TL
15.65	2.006	2-back	1.0	1.0	0.823	c	BL
17.656	2.006	2-back	0.0	1.0	0.717	f	TR
19.662	2.006	2-back	0.0	1.0	0.822	x	TR
21.668	2.006	2-back	0.0	1.0	0.681	z	TL
23.674	2.006	2-back	1.0	1.0	0.691	x	BR
25.68	2.006	2-back	0.0	1.0	0.682	g	BL
27.686	2.006	2-back	0.0	1.0	0.793	v	TL
29.692	2.006	2-back	1.0	1.0	0.69	g	TL
31.698	2.006	2-back	1.0	1.0	0.796	v	TR
33.704	2.006	2-back	0.0	1.0	0.501	z	BR
35.71	2.006	2-back	0.0	1.0	0.552	n	TL
37.716	2.006	2-back	1.0	0.0	0.872	z	TL
39.722	2.006	2-back	0.0	0.0	0.674	s	BL
41.728	2.006	2-back	1.0	1.0	0.666	z	BR
43.734	2.006	2-back	0.0	1.0	0.432	t	TL
45.74	2.006	2-back	0.0	1.0	0.538	f	BL
47.746	2.006	2-back	1.0	1.0	0.619	t	BR
49.752	2.006	2-back	0.0	1.0	0.749	r	BR
51.758	2.006	2-back	0.0	1.0	0.673	c	TR
53.764	2.006	2-back	1.0	1.0	0.682	r	BL
55.77	2.006	2-back	0.0	1.0	0.531	f	BR
57.776	2.006	2-back	0.0	1.0	0.973	t	TR
59.782	2.006	2-back	1.0	1.0	0.755	f	BL
61.788	2.006	2-back	0.0	1.0	0.721	c	BR
63.794	2.006	2-back	0.0	1.0	0.842	l	BR
65.8	2.006	2-back	0.0	1.0	0.75	n	TR
67.806	2.006	2-back	1.0	1.0	0.618	l	TL
69.812	2.006	2-back	0.0	1.0	0.561	s	BR
71.818	2.006	2-back	0.0	1.0	0.655	g	TR
73.824	2.006	2-back	1.0	0.0	0.977	s	TL
75.83	2.006	2-back	0.0	1.0	0.767	l	BL
77.836	2.006	2-back	0.0	1.0	0.609	r	TR
79.842	2.006	2-back	0.0	1.0	0.691	x	BR
81.848	2.006	2-back	0.0	1.0	0.597	t	TL
83.854	2.006	2-back	1.0	1.0	0.667	x	TR
85.86	2.006	2-back	0.0	1.0	0.621	n	BL
87.866	2.006	2-back	0.0	1.0	0.761	p	BR
89.872	2.006	2-back	1.0	1.0	0.672	n	TR
91.878	2.006	2-back	1.0	1.0	0.86	p	BL
93.884	2.006	2-back	0.0	1.0	0.644	v	BL
95.89	2.006	2-back	0.0	1.0	0.801	l	TL
97.896	6.02	2-back	1.0	1.0	0.691	v	BR
103.916	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.939	2.023	baseline	1.0	1.0	0.274	redcross.bmp	n/a
107.962	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
109.984	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.007	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.03	2.023	baseline	1.0	1.0	0.355	redcross.bmp	n/a
116.053	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.075	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.098	2.023	baseline	1.0	1.0	0.439	redcross.bmp	n/a
122.121	2.023	baseline	1.0	1.0	0.588	redcross.bmp	n/a
124.144	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.166	6.033	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.199	1.805	no_response	n/a	1.0	n/a	c	TR
134.004	2.006	1-back	0.0	1.0	0.598	g	BL
136.01	2.006	1-back	0.0	1.0	0.812	p	TR
138.016	2.006	1-back	1.0	1.0	0.599	p	BL
140.022	2.007	1-back	0.0	1.0	0.536	t	TL
142.029	2.006	1-back	0.0	1.0	0.74	v	BR
144.035	2.006	1-back	1.0	1.0	0.673	v	TL
146.041	2.006	1-back	0.0	1.0	0.596	s	BL
148.047	2.006	1-back	1.0	1.0	0.598	s	TR
150.053	2.006	1-back	0.0	1.0	0.572	x	BR
