onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.806	no_response	n/a	1.0	n/a	p	TR
5.821	2.006	1-back	0.0	1.0	0.479	f	BL
7.827	2.006	1-back	1.0	1.0	0.75	n	BL
9.833	2.006	1-back	0.0	1.0	0.662	x	TR
11.839	2.006	1-back	0.0	1.0	0.787	c	TL
13.845	2.006	1-back	1.0	1.0	0.62	p	TL
15.851	2.006	1-back	0.0	1.0	0.677	n	BL
17.857	2.006	1-back	0.0	1.0	0.997	c	TR
19.863	2.006	1-back	1.0	1.0	0.557	g	TR
21.869	2.006	1-back	0.0	1.0	0.739	n	TL
23.875	2.006	1-back	0.0	0.0	0.84	s	BR
25.881	2.006	1-back	0.0	1.0	0.886	x	BL
27.887	2.006	1-back	0.0	1.0	0.632	t	TL
29.893	2.006	1-back	1.0	1.0	0.578	g	TL
31.899	2.006	1-back	0.0	1.0	0.567	p	BR
33.905	2.006	1-back	0.0	1.0	0.768	c	TL
35.911	2.006	1-back	1.0	1.0	0.498	r	TL
37.917	2.006	1-back	0.0	1.0	0.522	t	BL
39.923	2.006	1-back	1.0	1.0	0.706	v	BL
41.929	2.006	1-back	0.0	1.0	0.814	g	BR
43.935	2.006	1-back	0.0	1.0	0.813	p	TL
45.941	2.006	1-back	0.0	1.0	0.8	x	BR
47.947	2.006	1-back	1.0	1.0	0.512	z	BR
49.953	2.006	1-back	0.0	1.0	0.629	l	TR
51.959	2.006	1-back	1.0	1.0	0.572	v	TR
53.965	2.006	1-back	0.0	1.0	0.586	n	BR
55.971	2.006	1-back	0.0	1.0	0.66	r	BL
57.977	2.006	1-back	1.0	1.0	0.5	s	BL
59.983	2.006	1-back	0.0	1.0	0.719	z	TR
61.989	2.006	1-back	0.0	1.0	0.834	l	TL
63.995	2.006	1-back	0.0	1.0	0.62	g	BR
66.001	2.006	1-back	1.0	1.0	0.606	f	BR
68.007	2.006	1-back	0.0	1.0	0.716	t	TR
70.013	2.006	1-back	0.0	1.0	0.621	z	TL
72.019	2.006	1-back	1.0	1.0	0.523	l	TL
74.025	2.006	1-back	0.0	1.0	0.557	f	BL
76.031	2.006	1-back	0.0	1.0	0.534	t	TR
78.037	2.006	1-back	1.0	1.0	0.445	r	TR
80.043	2.006	1-back	0.0	1.0	0.593	l	BR
82.049	2.006	1-back	1.0	1.0	0.499	z	BR
84.055	2.006	1-back	0.0	1.0	0.506	r	TR
86.061	2.006	1-back	1.0	1.0	0.582	v	TR
88.067	2.006	1-back	0.0	1.0	0.482	s	BL
90.073	2.006	1-back	1.0	1.0	0.517	f	BL
92.079	2.006	1-back	0.0	1.0	0.511	v	TL
94.085	2.006	1-back	0.0	1.0	0.82	x	BR
96.091	2.006	1-back	1.0	1.0	0.515	c	BR
98.097	6.022	1-back	0.0	1.0	0.474	s	BL
104.119	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.141	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.164	2.023	baseline	1.0	1.0	0.412	redcross.bmp	n/a
110.187	2.023	baseline	1.0	1.0	0.43	redcross.bmp	n/a
112.21	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.232	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.255	2.023	baseline	1.0	1.0	0.328	redcross.bmp	n/a
118.278	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.301	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.323	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.346	2.023	baseline	1.0	1.0	0.273	redcross.bmp	n/a
126.369	6.031	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.4	1.805	no_response	n/a	1.0	n/a	c	BL
134.205	1.806	no_response	n/a	1.0	n/a	l	TR
136.011	2.006	2-back	1.0	1.0	0.737	v	BL
138.017	2.006	2-back	1.0	0.0	0.573	p	TR
140.023	2.006	2-back	0.0	1.0	0.551	r	TL
142.029	2.006	2-back	0.0	1.0	0.766	t	BR
144.035	2.006	2-back	1.0	1.0	0.394	n	TL
146.041	2.006	2-back	0.0	1.0	0.588	s	TR
148.047	2.006	2-back	0.0	1.0	0.759	f	BL
150.053	2.006	2-back	1.0	1.0	0.508	x	TR
152.059	2.006	2-back	0.0	1.0	0.684	v	BR
154.065	2.006	2-back	0.0	1.0	0.954	p	TL
156.071	2.006	2-back	1.0	1.0	0.601	f	BR
158.077	2.006	2-back	1.0	1.0	0.615	n	TL
160.083	2.006	2-back	0.0	1.0	0.664	x	TR
162.089	2.006	2-back	1.0	1.0	0.7	t	TL
164.095	2.006	2-back	0.0	1.0	0.77	s	BL
166.101	2.006	2-back	0.0	1.0	1.162	l	TR
168.107	2.006	2-back	1.0	1.0	1.087	f	BL
170.113	2.006	2-back	1.0	1.0	1.088	c	TR
172.119	2.006	2-back	0.0	1.0	0.615	r	TL
174.125	2.006	2-back	1.0	1.0	0.846	g	TR
176.131	2.006	2-back	0.0	1.0	0.698	s	BL
178.137	2.006	2-back	0.0	1.0	0.798	r	BR
180.143	2.006	2-back	1.0	1.0	0.656	v	BL
182.149	2.006	2-back	0.0	1.0	0.857	p	BL
184.155	2.006	2-back	0.0	1.0	0.83	t	TL
186.161	2.006	2-back	1.0	1.0	0.521	x	BL
188.167	2.006	2-back	0.0	1.0	0.73	z	BR
190.173	2.006	2-back	0.0	1.0	0.775	t	TR
192.179	2.006	2-back	0.0	1.0	0.72	g	TL
194.185	2.006	2-back	1.0	1.0	0.628	c	TR
196.191	2.006	2-back	0.0	1.0	0.638	p	BL
198.197	2.006	2-back	0.0	1.0	0.999	s	BR
200.203	2.006	2-back	0.0	1.0	0.96	v	TL
202.209	2.006	2-back	1.0	1.0	0.444	n	BR
204.215	2.006	2-back	0.0	1.0	0.837	c	BL
206.221	2.006	2-back	0.0	1.0	0.878	l	TL
208.227	2.006	2-back	0.0	1.0	0.945	x	BR
210.233	2.006	2-back	1.0	1.0	0.463	z	TL
212.239	2.006	2-back	0.0	1.0	0.808	g	TR
214.245	2.006	2-back	0.0	1.0	0.703	f	BR
216.251	2.006	2-back	0.0	1.0	0.781	z	TL
218.257	2.006	2-back	1.0	1.0	0.39	l	BR
220.263	2.006	2-back	0.0	1.0	0.59	r	TR
222.269	2.006	2-back	1.0	0.0	n/a	z	BR
224.275	2.006	2-back	0.0	1.0	0.639	n	BL
226.281	6.022	2-back	1.0	1.0	0.469	g	BR
232.303	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
234.326	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
236.348	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
238.371	2.023	baseline	1.0	1.0	0.513	redcross.bmp	n/a
240.394	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
242.416	2.023	baseline	1.0	1.0	0.356	redcross.bmp	n/a
244.439	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
246.462	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
248.485	2.022	baseline	1.0	1.0	0.319	redcross.bmp	n/a
250.507	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.53	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
254.553	2.0	baseline	1.0	1.0	0.33	redcross.bmp	n/a
