onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.014	1.806	no_response	n/a	1.0	n/a	c	TR
5.82	1.805	no_response	n/a	1.0	n/a	g	BL
7.625	2.023	2-back	1.0	1.0	0.746	c	BL
9.648	2.023	2-back	0.0	1.0	0.708	p	TR
11.671	2.022	2-back	0.0	1.0	0.469	v	TL
13.693	2.023	2-back	1.0	1.0	0.482	p	TL
15.716	2.023	2-back	0.0	1.0	0.59	s	BL
17.739	2.023	2-back	0.0	1.0	0.496	x	TR
19.762	2.022	2-back	1.0	1.0	0.45	s	TR
21.784	2.023	2-back	1.0	0.0	0.644	x	TL
23.807	2.023	2-back	0.0	1.0	0.686	n	BR
25.83	2.022	2-back	0.0	1.0	0.583	f	BL
27.852	2.023	2-back	1.0	1.0	0.511	n	TL
29.875	2.023	2-back	0.0	1.0	0.573	t	TL
31.898	2.023	2-back	0.0	1.0	0.691	l	TR
33.921	2.022	2-back	0.0	1.0	0.626	r	BR
35.943	2.023	2-back	1.0	1.0	0.461	l	TL
37.966	2.023	2-back	0.0	1.0	0.502	z	TL
39.989	2.023	2-back	0.0	1.0	0.587	v	BL
42.012	2.022	2-back	0.0	1.0	0.583	t	BR
44.034	2.023	2-back	0.0	1.0	0.502	g	TL
46.057	2.023	2-back	1.0	1.0	0.468	t	BL
48.08	2.023	2-back	0.0	1.0	0.662	f	BR
50.103	2.022	2-back	0.0	1.0	0.661	r	BR
52.125	2.023	2-back	1.0	1.0	0.461	f	TR
54.148	2.023	2-back	0.0	1.0	0.607	z	BL
56.171	2.023	2-back	0.0	1.0	0.672	c	BR
58.194	2.022	2-back	0.0	1.0	0.532	g	TR
60.216	2.023	2-back	1.0	0.0	0.467	c	BL
62.239	2.023	2-back	0.0	1.0	0.568	p	BR
64.262	2.022	2-back	0.0	1.0	0.511	v	BR
66.284	2.023	2-back	1.0	1.0	0.461	p	TR
68.307	2.023	2-back	0.0	1.0	0.484	s	TL
70.33	2.023	2-back	0.0	1.0	0.591	t	BR
72.353	2.022	2-back	1.0	1.0	0.705	s	TR
74.375	2.023	2-back	0.0	1.0	0.596	r	TL
76.398	2.023	2-back	0.0	1.0	0.511	z	BL
78.421	2.023	2-back	1.0	1.0	0.395	r	TR
80.444	2.022	2-back	1.0	1.0	0.537	z	BR
82.466	2.023	2-back	0.0	1.0	0.591	n	TL
84.489	2.023	2-back	0.0	1.0	0.601	g	TR
86.512	2.023	2-back	1.0	1.0	0.597	n	BL
88.535	2.022	2-back	0.0	1.0	0.664	x	BR
90.557	2.023	2-back	0.0	1.0	0.557	v	TR
92.58	2.023	2-back	1.0	1.0	0.465	x	BL
94.603	2.022	2-back	0.0	1.0	0.621	l	BL
96.625	2.023	2-back	0.0	1.0	0.693	f	TL
98.648	6.037	2-back	1.0	1.0	0.492	l	BR
104.685	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.708	2.022	baseline	1.0	1.0	0.298	redcross.bmp	n/a
108.73	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.753	2.023	baseline	1.0	1.0	0.298	redcross.bmp	n/a
112.776	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.799	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.821	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.844	2.023	baseline	1.0	1.0	0.353	redcross.bmp	n/a
120.867	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.89	2.022	baseline	1.0	1.0	0.408	redcross.bmp	n/a
124.912	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.935	6.033	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.968	1.805	no_response	n/a	1.0	n/a	v	TR
134.773	2.023	1-back	1.0	1.0	0.457	v	BL
136.796	2.023	1-back	0.0	1.0	0.528	p	TR
138.819	2.022	1-back	0.0	1.0	0.441	g	BL
140.841	2.023	1-back	1.0	1.0	0.524	g	TL
142.864	2.023	1-back	0.0	1.0	0.439	z	BR
144.887	2.023	1-back	0.0	1.0	0.53	l	TL
146.91	2.022	1-back	0.0	1.0	0.545	t	BL
148.932	2.023	1-back	1.0	1.0	0.365	t	TR
150.955	2.023	1-back	0.0	1.0	0.559	s	BR
152.978	2.023	1-back	0.0	1.0	0.483	l	TL
155.001	2.022	1-back	0.0	1.0	0.481	x	BR
157.023	2.023	1-back	1.0	1.0	0.365	x	TR
159.046	2.023	1-back	1.0	1.0	0.561	x	TL
161.069	2.023	1-back	0.0	1.0	0.453	s	TR
