onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	r	TL
5.82	1.806	no_response	n/a	1.0	n/a	p	TR
7.626	2.022	2-back	0.0	1.0	0.478	x	BL
9.648	2.023	2-back	1.0	1.0	0.349	t	TR
11.671	2.023	2-back	0.0	1.0	0.418	g	TL
13.694	2.023	2-back	0.0	1.0	0.421	n	BL
15.717	2.022	2-back	1.0	1.0	0.363	z	TL
17.739	2.023	2-back	0.0	1.0	0.382	c	TR
19.762	2.023	2-back	0.0	1.0	0.393	v	BR
21.785	2.022	2-back	0.0	1.0	0.367	n	BL
23.807	2.023	2-back	1.0	1.0	0.388	g	BR
25.83	2.023	2-back	0.0	1.0	0.348	s	TL
27.853	2.023	2-back	0.0	1.0	0.445	v	TR
29.876	2.022	2-back	1.0	1.0	0.336	l	TL
31.898	2.023	2-back	1.0	1.0	0.527	f	TR
33.921	2.023	2-back	0.0	1.0	0.387	s	BR
35.944	2.023	2-back	0.0	1.0	0.428	c	TL
37.967	2.022	2-back	0.0	1.0	0.487	r	BL
39.989	2.023	2-back	1.0	1.0	0.314	s	TL
42.012	2.023	2-back	0.0	1.0	0.454	l	BR
44.035	2.023	2-back	0.0	1.0	0.425	z	BL
46.058	2.022	2-back	1.0	1.0	0.433	x	BR
48.08	2.023	2-back	0.0	1.0	0.36	f	TL
50.103	2.023	2-back	0.0	1.0	0.385	t	TL
52.126	2.023	2-back	0.0	1.0	0.621	x	BR
54.149	2.022	2-back	1.0	1.0	0.514	r	TL
56.171	2.023	2-back	1.0	1.0	0.528	l	BR
58.194	2.023	2-back	0.0	1.0	0.501	n	BL
60.217	2.022	2-back	1.0	1.0	0.423	s	BR
62.239	2.023	2-back	0.0	1.0	0.675	f	BR
64.262	2.023	2-back	0.0	1.0	0.531	g	BL
66.285	2.023	2-back	0.0	1.0	0.507	p	TR
68.308	2.022	2-back	1.0	1.0	0.389	v	BL
70.33	2.023	2-back	1.0	1.0	0.377	t	TR
72.353	2.023	2-back	1.0	0.0	0.407	t	BL
74.376	2.023	2-back	0.0	1.0	0.654	z	TL
76.399	2.022	2-back	0.0	1.0	0.543	f	TR
78.421	2.023	2-back	1.0	1.0	0.354	p	TL
80.444	2.023	2-back	1.0	1.0	0.838	g	TR
82.467	2.023	2-back	0.0	1.0	0.536	c	BL
84.49	2.022	2-back	1.0	1.0	0.604	r	TR
86.512	2.023	2-back	0.0	1.0	0.546	p	BR
88.535	2.023	2-back	1.0	0.0	0.811	x	TR
90.558	2.022	2-back	0.0	1.0	0.947	l	TR
92.58	2.023	2-back	0.0	1.0	0.884	z	BL
94.603	2.023	2-back	0.0	1.0	0.696	c	BR
96.626	2.023	2-back	1.0	1.0	0.386	n	BL
98.649	6.036	2-back	1.0	1.0	0.713	v	BR
104.685	2.023	baseline	1.0	1.0	0.475	redcross.bmp	n/a
106.708	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.731	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.754	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.776	2.023	baseline	1.0	1.0	0.433	redcross.bmp	n/a
114.799	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.822	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.845	2.022	baseline	1.0	1.0	0.283	redcross.bmp	n/a
120.867	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.89	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.913	2.023	baseline	1.0	1.0	0.306	redcross.bmp	n/a
126.936	6.032	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.968	1.806	no_response	n/a	1.0	n/a	t	TR
134.774	2.022	1-back	0.0	1.0	0.487	c	BR
136.796	2.023	1-back	0.0	1.0	0.481	n	BL
138.819	2.023	1-back	1.0	1.0	0.393	l	BL
140.842	2.023	1-back	0.0	1.0	0.419	g	TR
142.865	2.022	1-back	0.0	1.0	0.428	f	TL
144.887	2.023	1-back	1.0	1.0	0.385	p	TL
146.91	2.023	1-back	0.0	1.0	0.414	x	TR
148.933	2.023	1-back	1.0	1.0	0.338	n	TR
150.956	2.022	1-back	0.0	1.0	0.411	s	TL
152.978	2.023	1-back	0.0	1.0	0.416	r	BR
155.001	2.023	1-back	1.0	1.0	0.316	v	BR
157.024	2.023	1-back	0.0	1.0	0.466	l	TL
159.047	2.022	1-back	1.0	1.0	0.331	z	TL
161.069	2.023	1-back	0.0	1.0	0.357	c	TR
163.092	2.023	1-back	0.0	1.0	0.322	f	BL
165.115	2.022	1-back	0.0	1.0	0.406	p	TR
167.137	2.023	1-back	1.0	1.0	0.481	t	TR
169.16	2.023	1-back	0.0	1.0	0.359	g	BL
171.183	2.023	1-back	1.0	1.0	0.456	x	BL
173.206	2.022	1-back	0.0	1.0	0.373	c	TR
175.228	2.023	1-back	1.0	1.0	0.376	p	TR
177.251	2.023	1-back	0.0	1.0	0.343	z	TL
179.274	2.023	1-back	0.0	1.0	0.388	r	BL
181.297	2.022	1-back	1.0	1.0	0.44	n	BL
183.319	2.023	1-back	0.0	1.0	0.503	z	BR
185.342	2.023	1-back	0.0	1.0	0.401	f	BL
187.365	2.023	1-back	0.0	1.0	0.446	s	TL
189.388	2.022	1-back	0.0	1.0	0.446	v	BR
191.41	2.023	1-back	1.0	1.0	0.503	c	BR
193.433	2.023	1-back	0.0	1.0	0.408	z	TL
195.456	2.023	1-back	1.0	1.0	0.419	r	TL
