onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	1.0	n/a	r	TL
5.82	1.799	no_response	n/a	1.0	n/a	p	TR
7.619	2.013	2-back	0.0	1.0	0.609	x	BL
9.632	2.012	2-back	1.0	1.0	0.615	t	TR
11.644	2.013	2-back	0.0	1.0	0.461	g	TL
13.657	2.012	2-back	0.0	1.0	0.627	n	BL
15.669	2.013	2-back	1.0	1.0	0.406	z	TL
17.682	2.012	2-back	0.0	1.0	0.452	c	TR
19.694	2.013	2-back	0.0	1.0	0.571	v	BR
21.707	2.013	2-back	0.0	1.0	0.423	n	BL
23.72	2.012	2-back	1.0	1.0	0.354	g	BR
25.732	2.013	2-back	0.0	1.0	0.39	s	TL
27.745	2.012	2-back	0.0	1.0	0.569	v	TR
29.757	2.013	2-back	1.0	1.0	0.305	l	TL
31.77	2.012	2-back	1.0	1.0	0.847	f	TR
33.782	2.013	2-back	0.0	1.0	0.441	s	BR
35.795	2.012	2-back	0.0	1.0	0.459	c	TL
37.807	2.013	2-back	0.0	1.0	0.405	r	BL
39.82	2.013	2-back	1.0	1.0	0.37	s	TL
41.833	2.012	2-back	0.0	1.0	0.421	l	BR
43.845	2.013	2-back	0.0	1.0	0.448	z	BL
45.858	2.012	2-back	1.0	1.0	0.486	x	BR
47.87	2.013	2-back	0.0	1.0	0.583	f	TL
49.883	2.012	2-back	0.0	1.0	0.68	t	TL
51.895	2.013	2-back	0.0	1.0	0.988	x	BR
53.908	2.012	2-back	1.0	1.0	0.603	r	TL
55.92	2.013	2-back	1.0	0.0	0.388	l	BR
57.933	2.013	2-back	0.0	1.0	1.074	n	BL
59.946	2.012	2-back	1.0	1.0	0.932	s	BR
61.958	2.013	2-back	0.0	1.0	0.718	f	BR
63.971	2.012	2-back	0.0	0.0	0.608	g	BL
65.983	2.013	2-back	0.0	1.0	0.741	p	TR
67.996	2.012	2-back	1.0	1.0	0.381	v	BL
70.008	2.013	2-back	1.0	1.0	0.632	t	TR
72.021	2.013	2-back	1.0	1.0	0.931	t	BL
74.034	2.012	2-back	0.0	1.0	0.649	z	TL
76.046	2.013	2-back	0.0	1.0	0.692	f	TR
78.059	2.012	2-back	1.0	1.0	0.688	p	TL
80.071	2.013	2-back	1.0	0.0	0.603	g	TR
82.084	2.012	2-back	0.0	1.0	0.627	c	BL
84.096	2.013	2-back	1.0	1.0	0.893	r	TR
86.109	2.012	2-back	0.0	1.0	0.551	p	BR
88.121	2.013	2-back	1.0	1.0	0.64	x	TR
90.134	2.013	2-back	0.0	1.0	0.68	l	TR
92.147	2.012	2-back	0.0	0.0	0.715	z	BL
94.159	2.013	2-back	0.0	1.0	0.905	c	BR
96.172	2.012	2-back	1.0	1.0	0.927	n	BL
98.184	6.051	2-back	1.0	1.0	0.522	v	BR
104.235	2.039	baseline	1.0	1.0	0.819	redcross.bmp	n/a
106.274	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.313	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.353	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.392	2.039	baseline	1.0	1.0	0.476	redcross.bmp	n/a
114.431	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.47	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.509	2.04	baseline	1.0	1.0	0.333	redcross.bmp	n/a
120.549	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.588	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.627	2.039	baseline	1.0	1.0	0.35	redcross.bmp	n/a
126.666	6.038	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.704	1.8	no_response	n/a	1.0	n/a	t	TR
134.504	2.012	1-back	0.0	1.0	0.594	c	BR
136.516	2.013	1-back	0.0	1.0	0.652	n	BL
138.529	2.012	1-back	1.0	1.0	0.469	l	BL
140.541	2.013	1-back	0.0	1.0	0.408	g	TR
142.554	2.012	1-back	0.0	1.0	0.367	f	TL
144.566	2.013	1-back	1.0	1.0	0.458	p	TL
146.579	2.012	1-back	0.0	1.0	0.477	x	TR
148.591	2.013	1-back	1.0	1.0	0.452	n	TR
150.604	2.013	1-back	0.0	1.0	0.393	s	TL
152.617	2.012	1-back	0.0	1.0	0.455	r	BR
154.629	2.013	1-back	1.0	1.0	0.618	v	BR
156.642	2.012	1-back	0.0	1.0	0.342	l	TL
158.654	2.013	1-back	1.0	1.0	0.756	z	TL
160.667	2.012	1-back	0.0	1.0	0.562	c	TR
162.679	2.013	1-back	0.0	1.0	0.697	f	BL
164.692	2.012	1-back	0.0	1.0	0.444	p	TR
166.704	2.013	1-back	1.0	1.0	0.62	t	TR
168.717	2.013	1-back	0.0	1.0	0.572	g	BL
170.73	2.012	1-back	1.0	1.0	0.53	x	BL
172.742	2.013	1-back	0.0	1.0	0.363	c	TR
174.755	2.012	1-back	1.0	1.0	0.578	p	TR
176.767	2.013	1-back	0.0	1.0	0.582	z	TL
178.78	2.012	1-back	0.0	1.0	0.357	r	BL
180.792	2.013	1-back	1.0	1.0	0.511	n	BL
182.805	2.012	1-back	0.0	1.0	0.368	z	BR
184.817	2.013	1-back	0.0	1.0	0.422	f	BL
186.83	2.013	1-back	0.0	1.0	0.75	s	TL
188.843	2.012	1-back	0.0	1.0	0.433	v	BR
190.855	2.013	1-back	1.0	1.0	0.455	c	BR
192.868	2.012	1-back	0.0	1.0	0.37	z	TL
194.88	2.013	1-back	1.0	1.0	0.275	r	TL
196.893	2.012	1-back	0.0	1.0	0.462	l	TR
198.905	2.013	1-back	1.0	1.0	0.553	n	TR
200.918	2.013	1-back	0.0	1.0	0.466	v	BR
202.931	2.012	1-back	1.0	1.0	0.604	f	BR
204.943	2.013	1-back	0.0	1.0	0.505	r	TL
206.956	2.012	1-back	1.0	1.0	0.575	l	TL
208.968	2.013	1-back	0.0	1.0	0.419	x	BR
210.981	2.012	1-back	0.0	1.0	0.495	s	BL
212.993	2.013	1-back	0.0	1.0	0.378	g	TL
215.006	2.012	1-back	0.0	1.0	0.613	t	BL
217.018	2.013	1-back	0.0	1.0	0.414	p	BR
219.031	2.013	1-back	0.0	1.0	0.624	s	BL
221.044	2.012	1-back	1.0	1.0	0.562	x	BL
223.056	2.013	1-back	0.0	1.0	0.439	v	TR
225.069	2.012	1-back	0.0	1.0	0.606	t	BR
227.081	6.051	1-back	1.0	1.0	0.587	g	BR
233.132	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.171	2.039	baseline	1.0	1.0	0.411	redcross.bmp	n/a
237.21	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.25	2.039	baseline	1.0	1.0	0.309	redcross.bmp	n/a
241.289	2.039	baseline	1.0	1.0	0.404	redcross.bmp	n/a
243.328	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.367	2.04	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.407	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.446	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
251.485	2.039	baseline	1.0	1.0	0.427	redcross.bmp	n/a
253.524	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
255.563	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
